x0 y0
0 3.0272
1 15.83
0.56403 0.69862
0.58661 0.23581
0.51872 0.98207
0.76533 -5.9851
0.76648 -5.9741
0.57061 0.58777
0.1745 -0.85764
0.99956 15.821
0.42039 0.23596
0.69029 -4.1715
0.067186 0.13298
0.93162 10.063
0.31571 -0.0023466
0.45655 0.54423
0.066599 0.15158
0.82077 -3.5964
0.20897 -0.55508
0.71552 -5.2164
0.052845 0.62988
0.66224 -2.8078
0.4662 0.63534
0.32614 -0.00016079
0.58373 0.30801
0.07099 0.016171
0.8893 4.214
0.81924 -3.7149
0.86357 0.80521
0.6298 -1.2788
0.27457 -0.080565
0.44282 0.41742
0.70367 -4.7606
0.66656 -3.0221
0.66687 -3.0375
0.14139 -0.9861
0.56079 0.74605
0.79627 -5.1331
0.59773 -0.078456
0.68797 -4.0636
0.61897 -0.82865
0.18542 -0.7713
0.39354 0.086298
0.44253 0.41481
0.52984 0.98112
0.17756 -0.83495
0.096517 -0.59625
0.70748 -4.9149
0.89879 5.5417
0.1432 -0.98627
0.51426 0.97239
0.57887 0.42095
0.32342 -0.00041944
0.41699 0.2125
0.58981 0.15129
0.4607 0.58343
0.64221 -1.8386
0.21065 -0.53921
0.61274 -0.58922
0.40633 0.14737
0.66444 -2.9169
0.3807 0.043469
0.53932 0.94824
0.7917 -5.3344
0.25776 -0.16195
0.93208 10.123
0.40717 0.152
0.69471 -4.3731
0.25786 -0.16137
0.87847 2.7341
0.42489 0.26875
0.54734 0.89463
0.024429 1.84
0.93969 11.088
0.38428 0.053618
0.24013 -0.28127
0.039295 1.1743
0.68962 -4.1405
0.30158 -0.013499
0.34748 0.0012172
0.95363 12.702
0.87957 2.8826
0.1286 -0.95445
0.77745 -5.7914
0.099281 -0.64458
0.40335 0.13142
0.94467 11.69
0.68825 -4.0766
0.62382 -1.0251
0.73573 -5.7897
0.24309 -0.25896
0.45416 0.52175
0.15032 -0.9776
0.93075 9.9505
0.39246 0.08198
0.95981 13.338
0.78995 -5.4043
0.037998 1.2298
0.15815 -0.95244
0.89229 4.63
0.60338 -0.25931
0.48507 0.8031
0.65137 -2.2748
0.33851 5.9876e-005
0.10388 -0.71741
0.50398 0.93133
0.025592 1.7858
0.83845 -2.0208
0.073333 -0.052545
0.83098 -2.7321
0.73352 -5.7421
0.56411 0.69733
0.25807 -0.16014
0.35231 0.0029275
0.95214 12.539
0.29288 -0.027492
0.83256 -2.5873
0.13036 -0.96215
0.93986 11.109
0.065294 0.1935
0.3175 -0.001703
0.60771 -0.40744
0.20624 -0.58085
0.43622 0.35972
0.71925 -5.3438
0.19108 -0.72175
0.99002 15.519
0.88424 3.5163
0.74874 -5.983
0.2095 -0.55011
0.64859 -2.1412
0.83611 -2.25
0.60521 -0.32112
0.75027 -5.9953
0.30363 -0.011087
0.25199 -0.19733
0.46926 0.66394
0.76689 -5.9698
0.56757 0.64142
0.52535 0.98608
0.20316 -0.60997
0.2044 -0.59834
0.3623 0.010284
0.88515 3.6414
0.24324 -0.25785
0.5011 0.91567
0.31209 -0.0040957
0.60677 -0.37466
0.86714 1.253
0.30102 -0.014211
0.76599 -5.979
0.037701 1.2426
0.29048 -0.032511
0.06234 0.29108
0.88335 3.3956
0.12997 -0.96055
0.45696 0.54807
0.59434 0.023357
0.41425 0.19456
0.69168 -4.2356
