x0 y0 
0 3.0272
0.025641 1.7835
0.051282 0.68916
0.076923 -0.15296
0.10256 -0.69749
0.12821 -0.95256
0.15385 -0.96816
0.17949 -0.81997
0.20513 -0.59141
0.23077 -0.35702
0.25641 -0.16987
0.28205 -0.054653
0.30769 -0.0071683
0.33333 0
0.35897 0.0071683
0.38462 0.054653
0.41026 0.16987
0.4359 0.35702
0.46154 0.59141
0.48718 0.81997
0.51282 0.96816
0.53846 0.95256
0.5641 0.69749
0.58974 0.15296
0.61538 -0.68916
0.64103 -1.7835
0.66667 -3.0272
0.69231 -4.2643
0.71795 -5.3004
0.74359 -5.9252
0.76923 -5.9416
0.79487 -5.1976
0.82051 -3.6164
0.84615 -1.2211
0.87179 1.8518
0.89744 5.3513
0.92308 8.927
0.94872 12.159
0.97436 14.6
1 15.83
