x0 y0
0 0
1 1
0.32438 0
0.054931 0
0.32333 0
0.76073 1
0.31438 0
0.093632 0
0.38471 0
0.46846 0
0.050475 0
0.86437 1
0.77429 1
0.40344 0
0.1148 0
0.95626 1
0.17369 0
0.42283 0
0.70875 1
0.89536 1
0.57823 1
0.30698 0
0.036098 0
0.29693 0
0.2471 0
0.2725 0
0.81115 1
0.78215 1
0.04719 0
0.37858 0
0.97561 1
0.33235 0
0.38634 0
0.97795 1
0.5868 1
0.2289 0
0.10182 0
0.70573 1
0.23028 0
0.54039 1
0.04983 0
0.11688 0
0.0021435 0
0.55496 1
0.55635 1
0.56578 1
0.62574 1
0.57387 1
0.24866 0
0.27832 0
0.094159 0
0.72081 1
0.78472 1
0.35719 0
0.90361 1
0.68056 1
0.70767 1
0.31795 0
0.011679 0
0.81956 1
0.57145 1
0.76966 1
0.81131 1
0.1523 0
0.37409 0
0.28156 0
0.52364 1
0.43535 0
0.62399 1
0.88704 1
0.63783 1
0.2833 0
0.90323 1
0.65653 1
0.25588 0
0.64344 1
0.4233 0
0.095652 0
0.35222 0
0.78222 1
0.03791 0
0.67837 1
0.81449 1
0.82107 1
0.68112 1
0.83455 1
0.67714 1
0.72431 1
0.82131 1
0.28995 0
0.48719 0
0.90801 1
0.50641 1
0.84277 1
0.72313 1
0.89057 1
0.94969 1
0.25718 0
0.11643 0
0.56685 1
0.66253 1
0.89723 1
0.7516 1
0.29984 0
0.043838 0
0.44139 0
0.50874 1
0.15734 0
0.45418 0
0.93563 1
0.22957 0
0.80702 1
0.9089 1
0.18149 0
0.23302 0
0.40252 0
0.77896 1
0.96381 1
0.4295 0
0.64674 1
0.90905 1
0.57642 1
0.46791 0
0.0092724 0
0.78271 1
0.42374 0
0.25437 0
0.97083 1
0.20622 0
0.39779 0
0.034596 0
0.22717 0
0.099736 0
0.47833 0
0.95914 1
0.21159 0
0.87272 1
0.63272 1
0.21319 0
0.88601 1
0.74861 1
0.76228 1
0.92417 1
0.91419 1
0.40698 0
0.52244 1
0.31173 0
0.086042 0
0.038513 0
0.39244 0
0.73597 1
0.81408 1
0.52197 1
0.30632 0
0.52243 1
0.83668 1
0.89785 1
0.59627 1
0.43445 0
0.73425 1
