x0 y0 
0.31206 0
0.11797 0
0.6475 1
0.83323 1
0.71847 1
0.72906 1
0.19683 0
0.094238 0
0.10042 0
0.98205 1
0.16736 0
0.45416 0
0.31757 0
0.69459 1
0.56616 1
0.21296 0
0.83327 1
0.030105 0
0.90283 1
0.66882 1
0.021753 0
0.73786 1
0.7975 1
0.7753 1
0.66153 1
0.88922 1
0.5208 1
0.089289 0
0.27688 0
0.34787 0
0.95452 1
0.61702 1
0.86406 1
0.10942 0
0.86628 1
0.44471 0
0.27752 0
0.13213 0
0.57015 1
0.065195 0
0.49164 0
0.27238 0
0.0099193 0
0.31037 0
0.65521 1
0.45049 0
0.87122 1
0.77269 1
0.96056 1
0.90602 1
0.31628 0
0.62866 1
0.4469 0
0.31198 0
0.59593 1
0.27991 0
0.31615 0
0.38215 0
0.81403 1
0.94473 1
0.81357 1
0.90058 1
0.48647 0
0.23136 0
0.80062 1
0.053123 0
0.27661 0
0.93108 1
0.93695 1
0.76294 1
0.14157 0
0.52314 1
0.5825 1
0.54521 1
0.74106 1
0.53815 1
0.88161 1
0.91596 1
0.68873 1
0.0098872 0
