x0 y0
0 0.040762
1 0.44933
0.91098 0.64152
0.6246 0.49578
0.56612 0.39239
0.24389 0.10813
0.85088 0.81585
0.022028 0.044517
0.7327 0.764
0.91071 0.64222
0.86696 0.76503
0.41588 0.21514
0.33329 0.15461
0.40963 0.20983
0.61888 0.48458
0.71272 0.70532
0.76071 0.85456
0.49714 0.29777
0.10159 0.061197
0.1536 0.075351
0.064977 0.052861
0.27205 0.12102
0.73953 0.78514
0.22486 0.1002
0.42378 0.22204
0.092019 0.058899
0.5844 0.42214
0.73439 0.76917
0.59487 0.4402
0.46111 0.2578
0.27465 0.12228
0.50151 0.30302
0.37893 0.18558
0.75246 0.82683
0.8111 0.95658
0.075485 0.05513
0.86348 0.77576
0.87317 0.74625
0.54441 0.35975
0.70237 0.67669
0.15076 0.074499
0.85995 0.78678
0.50931 0.31262
0.38468 0.1899
0.41742 0.21646
0.93505 0.58263
0.44104 0.23791
0.34189 0.16002
0.53467 0.346
0.57563 0.4076
0.35832 0.17089
0.42876 0.22651
0.63648 0.51993
0.3137 0.14296
0.44136 0.23822
0.91141 0.64042
0.60989 0.46746
0.10711 0.062565
0.19764 0.089864
0.037312 0.047323
0.27057 0.12031
0.315 0.1437
0.79222 0.96935
0.96174 0.52364
0.21029 0.094532
0.75335 0.82978
0.98863 0.47023
0.49684 0.29741
0.37252 0.18088
0.10395 0.061779
0.42986 0.22751
0.51532 0.32023
0.23742 0.10537
0.48315 0.28156
0.027328 0.045471
0.18457 0.085288
0.17614 0.082459
0.68232 0.62455
0.64384 0.53545
0.19795 0.089979
