x0 y0 
0 0.040762
0.012658 0.042879
0.025316 0.045106
0.037975 0.047449
0.050633 0.049913
0.063291 0.052506
0.075949 0.055233
0.088608 0.058101
0.10127 0.061119
0.11392 0.064293
0.12658 0.067632
0.13924 0.071145
0.1519 0.07484
0.16456 0.078727
0.17722 0.082816
0.18987 0.087117
0.20253 0.091641
0.21519 0.096401
0.22785 0.10141
0.24051 0.10667
0.25316 0.11221
0.26582 0.11804
0.27848 0.12417
0.29114 0.13062
0.3038 0.13741
0.31646 0.14454
0.32911 0.15205
0.34177 0.15995
0.35443 0.16825
0.36709 0.17699
0.37975 0.18619
0.39241 0.19586
0.40506 0.20603
0.41772 0.21673
0.43038 0.22798
0.44304 0.23982
0.4557 0.25228
0.46835 0.26538
0.48101 0.27917
0.49367 0.29366
0.50633 0.30892
0.51899 0.32496
0.53165 0.34184
0.5443 0.35959
0.55696 0.37827
0.56962 0.39791
0.58228 0.41858
0.59494 0.44032
0.60759 0.46319
0.62025 0.48725
0.63291 0.51255
0.64557 0.53917
0.65823 0.56717
0.67089 0.59663
0.68354 0.62762
0.6962 0.66021
0.70886 0.6945
0.72152 0.73057
0.73418 0.76852
0.74684 0.80843
0.75949 0.85042
0.77215 0.89459
0.78481 0.94105
0.79747 0.98992
0.81013 0.9603
0.82278 0.91289
0.83544 0.86782
0.8481 0.82497
0.86076 0.78424
0.87342 0.74552
0.88608 0.70871
0.89873 0.67372
0.91139 0.64046
0.92405 0.60884
0.93671 0.57878
0.94937 0.5502
0.96203 0.52304
0.97468 0.49721
0.98734 0.47267
1 0.44933
