x0 y0 
0.44312 0.51157
0.30229 0.46572
0.25997 0.44799
0.91156 -0.18873
0.3802 0.50778
0.21498 0.4359
0.52917 0.42355
0.57967 0.34606
0.94233 -0.19644
0.81916 -0.032449
0.47975 0.4862
0.2956 0.46244
0.20764 0.43428
0.39191 0.51215
0.95139 -0.19505
0.44695 0.50993
0.96779 -0.18981
0.89617 -0.17589
0.12763 0.41299
0.99321 -0.17887
0.49691 0.46742
0.30078 0.46497
0.48135 0.48462
0.70342 0.18355
0.46789 0.49674
0.6481 0.25194
0.35032 0.49254
0.19754 0.43207
0.80124 0.0089155
0.053208 0.38795
0.31583 0.47285
0.22849 0.43904
0.91004 -0.18774
0.20259 0.43318
0.97571 -0.18653
0.19019 0.43046
0.085697 0.39672
0.87161 -0.14231
0.065015 0.39075
0.91353 -0.1899
