x0 y0
0 0
1 -1.2246e-015
0.92828 -0.77615
0.12678 -0.74554
0.5737 -0.73534
0.84816 0.99832
0.82622 0.73374
0.32777 -0.7659
0.63431 0.88096
0.55568 -0.98414
0.29114 0.27464
0.57985 -0.59167
0.64234 0.97116
0.61347 0.4106
0.26537 0.88566
0.15132 -0.99914
0.38645 -0.41293
0.21601 0.48206
0.66003 0.95079
0.20291 0.091353
0.40754 0.2347
0.0089457 0.27735
0.90959 -0.29666
0.51361 -0.41459
0.0031476 0.098723
0.18159 -0.54659
0.51728 -0.51659
0.8854 0.44285
0.3636 -0.9101
0.59516 -0.15141
0.22822 0.77484
0.893 0.21815
0.65696 0.97622
0.15725 -0.97416
0.91386 -0.42191
0.35163 -0.99869
0.4942 0.18113
0.95672 -0.97778
0.18294 -0.51079
0.9538 -0.99288
0.44751 0.99693
0.92153 -0.62607
0.61252 0.38332
0.72222 -0.64266
0.43374 0.87239
0.071093 0.78836
0.28285 0.51296
0.37245 -0.76133
0.6286 0.78249
0.13528 -0.8949
0.52802 -0.77084
0.839 0.94088
0.3941 -0.18439
0.71568 -0.47288
0.28651 0.41128
0.71868 -0.55374
0.88178 0.54178
0.41228 0.37624
0.010776 0.33212
0.12374 -0.67855
0.17234 -0.76367
0.13571 -0.90097
0.49615 0.12076
0.91191 -0.36537
0.19481 -0.16229
0.60514712 0.1609978453
0.16076 -0.94337
0.0085518 0.26544
0.43611 0.90633
0.79195 -0.25022
0.75177 -0.99845
0.58281 -0.51428
0.86832 0.83883
0.83244 0.85171
0.16277 -0.92062
0.53102 -0.82738
0.21457 0.44182
0.79256 -0.23165
0.63274 0.8565
0.75811 -0.96773
0.78704 -0.39601
0.013901 0.42296
0.067149 0.85836
0.058252 0.96658
0.70917 -0.28403
0.23437 0.88182
0.26315 0.91587
0.82908 0.79177
0.19281 -0.22383
0.26887 0.82941
0.86103 0.94059
0.91722 -0.51497
0.76398 -0.90507
0.094945 0.15813
0.34242 -0.97181
0.87453 0.7175
0.44976 0.99997
0.67068 0.79636
0.41722 0.5149
0.21775 0.52918
0.77003 -0.80851
0.13387 -0.87427
0.15915 -0.95893
0.37614 -0.68123
0.27513 0.70423
0.50443 -0.13877
0.46893 0.82823
0.041891 0.96773
0.83649 0.91131
0.36512 -0.88934
0.79061 -0.29065
0.39241 -0.23619
0.17798 -0.63793
0.78925 -0.33128
0.1639 -0.9061
0.72479 -0.70234
0.28459 0.46539
0.11437 -0.43618
0.83142 0.83447
0.31207 -0.37004
0.74822 -0.99844
0.4677 0.84926
0.1532 -0.99496
0.86645 0.86946
0.39818 -0.057273
0.26986 0.81168
0.14663 -0.9944
0.74345 -0.9789
0.52022 -0.5933
0.27287 0.75288
0.22542 0.71628
0.013354584 0.407346455
0.10995 -0.3076
0.09648 0.11036
0.20399 0.12488
0.29081 0.28487
0.12664 -0.74257
0.91433 -0.4352
0.94218 -0.96998
0.52654 -0.74052
0.93911 -0.94206
0.12505 -0.70825
0.92588 -0.72637
0.33908 -0.94177
0.3322 -0.84774
0.66523 0.88767
0.73938 -0.9449
0.53454 -0.88442
0.55022 -0.99998
0.70664 -0.20722
0.52305 -0.6626
0.1297 -0.80343
0.66375 0.90815
0.24027 0.95369
0.23313 0.86279
0.66147 0.93574
0.60594 0.18546
0.11499 -0.45364
0.87275 0.75527
0.16989 -0.81098
