x0 y0 
0.01493 0.45202
0.87099 0.79032
0.68454 0.4668
0.80502 0.15695
0.070581 0.79816
0.85771 0.97084
0.81885 0.55811
0.6133 0.40585
0.12755 -0.76146
0.55003 -1
0.51015 -0.31336
0.38023 -0.58184
0.50607 -0.18956
0.19316 -0.21311
0.96892 -0.82854
0.1288 -0.78625
0.98975 -0.31649
0.26276 0.92074
0.68124 0.55573
0.83068 0.82143
0.75589 -0.98293
0.93599 -0.90473
0.50852 -0.26463
0.47389 0.7314
0.92951 -0.79978
0.099629 0.011664
0.56115 -0.93929
0.83419 0.87918
0.59786 -0.0672
0.9044 -0.13788
0.8978 0.06901
0.072907 0.75205
0.707 -0.21807
0.073919 0.7307
0.25739 0.97317
0.64444 0.98479
4.4024e-005 0.0013831
0.56606 -0.87544
0.28041 0.57744
0.31714 -0.51275
