x0 y0 
0 0
0.025641 0.7212
0.051282 0.99919
0.076923 0.66312
0.10256 -0.080467
0.12821 -0.7746
0.15385 -0.99271
0.17949 -0.60074
0.20513 0.16041
0.23077 0.82298
0.25641 0.97979
0.28205 0.53447
0.30769 -0.23932
0.33333 -0.86603
0.35897 -0.96052
0.38462 -0.46472
0.41026 0.31667
0.4359 0.90345
0.46154 0.93502
0.48718 0.39197
0.51282 -0.39197
0.53846 -0.93502
0.5641 -0.90345
0.58974 -0.31667
0.61538 0.46472
0.64103 0.96052
0.66667 0.86603
0.69231 0.23932
0.71795 -0.53447
0.74359 -0.97979
0.76923 -0.82298
0.79487 -0.16041
0.82051 0.60074
0.84615 0.99271
0.87179 0.7746
0.89744 0.080467
0.92308 -0.66312
0.94872 -0.99919
0.97436 -0.7212
1 -1.2246e-015
