x0 x1 y0
0 0 0
0 1 0
1 0 -0.17253
1 1 0.2272
0.73484 0.26833 -0.16999
0.93146 0.77864 -0.015907
0.6067 0.84189 0.25647
0.47343 0.91968 1.7334
0.53487 0.11668 0.048344
0.93606 0.19355 -0.29453
0.87527 0.62637 -0.16964
0.71447 0.43606 -0.14873
0.24759 0.25938 0.26165
0.93066 0.83022 0.068744
0.56577 0.35862 -0.050978
0.045767 0.0016115 0.02422
0.37201 0.14883 0.14253
0.86129 0.35287 -0.25524
0.47182 0.0058366 0.11331
0.07317 0.23958 0.1382
0.72243 0.30468 -0.16534
0.70732 0.90735 0.25935
0.57835 0.95707 1.3426
0.68115 0.27307 -0.13499
0.26358 0.82611 1.0543
0.96733 0.20439 -0.31917
0.79789 0.96635 0.33366
0.56809 0.11914 0.025143
0.91419 0.43754 -0.29215
0.047613 0.42367 0.19992
0.16739 0.4487 0.388
0.21492 0.45549 0.43224
0.40049 0.76685 1.4815
0.83051 0.78591 0.099082
0.035335 0.88541 0.43317
0.56123 0.34512 -0.048035
0.42861 0.99438 1.5226
0.39548 0.43136 0.37793
0.85357 0.41857 -0.25126
0.63077 0.81351 0.19881
0.52915 0.19856 0.00789
0.64735 0.81914 0.19505
0.31586 0.45202 0.46105
0.77973 0.80376 0.15314
0.2121 0.64814 0.96092
0.3279 0.45918 0.47722
0.86214 0.95085 0.31877
0.80909 0.97883 0.34926
0.16481 0.6319 0.8038
0.097532 0.19698 0.15882
0.036292 0.8674 0.42096
0.32927 0.0032348 0.10568
0.33698 0.48897 0.54578
0.0041751 0.51595 0.09102
0.81608 0.46372 -0.21894
0.66624 0.29279 -0.12717
0.59063 0.069235 0.050889
0.6901 0.9719 0.31217
0.97621 0.35388 -0.32511
0.80743 0.91781 0.28685
0.77203 0.50669 -0.16813
0.88031 0.64938 -0.14803
0.47574 0.42552 0.092728
0.40222 0.55497 0.70284
0.21874 0.24193 0.24568
0.89412 0.94973 0.29698
0.63692 0.11142 -0.015038
0.92867 0.81046 0.038827
0.66053 0.24794 -0.11574
0.12467 0.44672 0.34689
0.72362 0.60028 -0.056712
0.41077 0.77075 1.4882
0.15606 0.96862 0.86912
0.4975 0.66724 0.62475
0.57309 0.61434 0.060589
0.66798 0.61433 -0.0046353
0.35709 0.95596 1.234
0.8061 0.89684 0.2627
0.59641 0.64527 0.065952
0.20641 0.80948 0.82807
