x0 x1 y0  
0.67989 0.42428 -0.12653
0.9318 0.11179 -0.25315
0.098943 0.32289 0.1747
0.084323 0.76107 0.45008
0.76028 0.22187 -0.1771
0.96529 0.16848 -0.31227
0.94999 0.40933 -0.31355
0.10459 0.031879 0.062548
0.63876 0.57222 -0.020458
0.12309 0.58656 0.63128
0.039119 0.79978 0.34806
0.89179 0.70531 -0.084778
0.33769 0.6511 1.1244
0.56719 0.046555 0.077665
0.50938 0.059757 0.091407
0.95342 0.99048 0.28602
0.1656 0.96278 0.86211
0.77017 0.67946 -0.0038941
0.61365 0.7434 0.14218
0.13418 0.81778 0.60162
0.20131 0.52269 0.6172
0.84888 0.11488 -0.18232
0.81439 0.29295 -0.22335
0.42282 0.86133 1.6466
0.72383 0.52816 -0.11576
0.65404 0.3853 -0.1157
0.97525 0.9203 0.1534
0.49986 0.39292 0.029792
0.91573 0.17915 -0.27577
0.40003 0.98683 1.3871
0.73747 0.12868 -0.10564
0.0063568 0.80551 0.15317
0.36754 0.33083 0.26788
0.30014 0.94516 0.99574
0.43392 0.080326 0.11032
0.060746 0.62482 0.40885
0.57709 0.44302 -0.042558
0.91198 0.55411 -0.26426
0.24435 0.20413 0.2286
0.26449 0.73535 1.175
0.80456 0.016892 -0.020433
0.6342 0.86268 0.24606
0.44116 0.66318 1.0393
0.034862 0.60432 0.2962
0.56055 0.47314 -0.015937
0.39698 0.49885 0.53882
0.54279 0.43308 -0.01299
0.25239 0.26216 0.26396
0.69937 0.88327 0.23964
0.59417 0.27 -0.071308
0.33252 0.069413 0.12789
0.78153 0.16213 -0.16557
0.15851 0.45167 0.38806
0.86678 0.27818 -0.25547
0.51598 0.23317 0.0079446
0.28614 0.6474 1.0952
0.70241 0.69039 0.051582
0.31971 0.35919 0.33492
0.79292 0.84905 0.20651
0.8508 0.18843 -0.22995
0.82789 0.72305 0.0069952
0.1812 0.36518 0.27013
0.98752 0.95721 0.1892
0.60445 0.0883 0.027213
0.14983 0.89346 0.71612
0.07347 0.24769 0.13847
0.3548 0.59986 0.91202
0.013713 0.54503 0.17592
0.29855 0.83281 1.2125
0.45206 0.62932 0.86119
0.47772 0.90107 1.7141
0.88114 0.34604 -0.26732
0.74042 0.77376 0.12955
0.23647 0.78113 1.0063
0.18939 0.0062002 0.075043
0.53631 0.30654 -0.024707
0.2208 0.48711 0.51832
0.46316 0.51212 0.27773
0.38711 0.92891 1.461
0.66619 0.14438 -0.065715
