x0 x1 y0
0 0 308.13
0 1 17.508
1 0 10.961
1 1 145.87
0.95914 0.083238 1.8322
0.27906 0.87676 49.887
0.61908 0.37944 23.17
0.45048 0.76787 70.882
0.10455 0.20061 100.28
0.033677 0.081619 219.32
0.79913 0.17523 19.4
0.51248 0.97111 143.24
0.066388 0.85616 6.3194
0.943 0.86155 114.71
0.9865 0.86354 103.99
0.3635 0.68652 43.551
0.45609 0.43518 16.556
0.64375 0.20065 12.085
0.52341 0.4915 24.42
0.50734 0.48757 22.768
0.02031 0.25199 167.11
0.38086 0.1047 28.556
0.56673 0.42144 19.588
0.91828 0.93149 146.15
0.7349 0.78889 134.47
0.39737 0.15152 20.873
0.8234 0.67354 92.453
0.12075 0.88895 1.3028
0.9762 0.67618 56.536
0.016925 0.20987 187.63
0.53585 0.96179 146.12
0.48329 0.1519 4.6057
0.10948 0.80497 1.1484
0.27745 0.69623 25.533
0.32867 0.49905 21.466
0.37489 0.99828 116.12
0.10324 0.406 49.045
0.35158 0.39829 19.405
0.44316 0.52601 26.583
0.70995 0.80565 137.71
0.27403 0.91945 55.408
0.58214 0.79506 103.36
0.9536 0.92244 131.84
0.42199 0.83136 82.154
0.68133 0.13657 15.367
0.83797 0.42372 37.706
0.12492 0.10642 113.64
0.85948 0.97337 181.63
0.88515 0.43775 29.959
0.18751 0.19131 56.717
0.079742 0.85471 3.6435
0.3458 0.55306 26.138
0.75415 0.86211 159.56
0.46306 0.41912 14.861
0.56868 0.45592 24.611
0.37748 0.84023 75.343
0.53132 0.43117 16.98
0.81576 0.93953 180.56
0.68792 0.39237 37.527
0.7731 0.12501 19.701
0.78995 0.39664 41.051
0.84334 0.16499 13.132
0.0034405 0.7139 52.319
0.12453 0.48233 25.571
0.77317 0.27322 27.986
0.56691 0.41548 18.851
0.62568 0.85656 135.59
0.6768 0.7563 116.4
0.27726 0.93664 60.218
0.57257 0.75693 89.734
0.63388 0.65404 77.945
0.78636 0.30283 29.877
0.8536 0.9439 172.06
0.17123 0.21517 57.568
0.55953 0.77037 90.349
0.53367 0.84098 105.16
0.025364 0.96419 11.819
0.079597 0.58989 28.252
0.094935 0.25842 90.914
0.18012 0.61687 4.7967
0.58701 0.12075 2.4355
0.7084 0.37308 37.506
0.27676 0.96761 66.339
0.90004 0.3841 19.862
0.073439 0.85759 4.7192
0.59137 0.39874 20.528
0.074159 0.54694 38.18
0.59658 0.74111 91.475
0.45626 0.33004 9.5009
0.16388 0.13089 81.579
0.61385 0.33662 17.321
0.9944 0.83344 93.331
0.32821 0.73993 44.335
0.075939 0.18411 130.67
0.95768 0.063023 2.6049
0.98677 0.12937 1.829
0.7825 0.12 19.062
0.15227 0.35622 36.445
0.75972 0.010192 20.448
0.24814 0.79983 26.855
0.29035 0.83688 47.631
0.36845 0.22359 21.7
0.28593 0.73424 31.843
0.86463 0.27627 15.774
0.10444 0.63288 13.012
0.78929 0.72258 111.88
0.33454 0.83149 61.865
0.68111 0.55437 65.086
0.37194 0.53033 26.064
0.48981 0.76027 74.302
0.27911 0.68182 24.706
0.87439 0.39036 25.69
0.21026 0.35617 23.678
0.12151 0.85628 0.63739
0.061635 0.91882 5.0115
0.49331 0.2565 3.7732
0.042678 0.71504 28.483
0.62727 0.035164 8.0663
0.79827 0.57373 72.49
0.090513 0.22924 103.02
0.81962 0.19373 17.793
0.079071 0.20534 120.62
0.79493 0.89143 166.49
0.018255 0.33747 138.85
0.0048063 0.19308 210.41
0.33977 0.76912 51.926
0.45703 0.37486 11.845
0.49026 0.77442 77.995
0.080899 0.14563 139.08
0.32376 0.91665 76.032
0.49606 0.79233 83.663
0.43068 0.69322 52.622
0.96689 0.13641 0.67348
0.83463 0.17916 14.977
0.27519 0.99593 71.72
0.22867 0.76437 17.022
