x0 x1 y0
0 0 308.13
0 0.010101 302.94
0 0.020202 297.8
0 0.030303 292.71
0 0.040404 287.66
0 0.050505 282.66
0 0.060606 277.71
0 0.070707 272.8
0 0.080808 267.93
0 0.090909 263.11
0 0.10101 258.34
0 0.11111 253.62
0 0.12121 248.94
0 0.13131 244.3
0 0.14141 239.71
0 0.15152 235.17
0 0.16162 230.67
0 0.17172 226.22
0 0.18182 221.82
0 0.19192 217.46
0 0.20202 213.15
0 0.21212 208.88
0 0.22222 204.66
0 0.23232 200.48
0 0.24242 196.35
0 0.25253 192.27
0 0.26263 188.23
0 0.27273 184.24
0 0.28283 180.29
0 0.29293 176.4
0 0.30303 172.54
0 0.31313 168.73
0 0.32323 164.97
0 0.33333 161.26
0 0.34343 157.59
0 0.35354 153.96
0 0.36364 150.38
0 0.37374 146.85
0 0.38384 143.36
0 0.39394 139.92
0 0.40404 136.53
0 0.41414 133.18
0 0.42424 129.88
0 0.43434 126.62
0 0.44444 123.41
0 0.45455 120.24
0 0.46465 117.12
0 0.47475 114.05
0 0.48485 111.02
0 0.49495 108.04
0 0.50505 105.11
0 0.51515 102.22
0 0.52525 99.374
0 0.53535 96.576
0 0.54545 93.825
0 0.55556 91.116
0 0.56566 88.457
0 0.57576 85.843
0 0.58586 83.275
0 0.59596 80.753
0 0.60606 78.276
0 0.61616 75.846
0 0.62626 73.462
0 0.63636 71.123
0 0.64646 68.831
0 0.65657 66.582
0 0.66667 64.381
0 0.67677 62.226
0 0.68687 60.117
0 0.69697 58.054
0 0.70707 56.037
0 0.71717 54.066
0 0.72727 52.141
0 0.73737 50.262
0 0.74747 48.428
0 0.75758 46.639
0 0.76768 44.897
0 0.77778 43.201
0 0.78788 41.552
0 0.79798 39.948
0 0.80808 38.39
0 0.81818 36.878
0 0.82828 35.411
0 0.83838 33.991
0 0.84848 32.617
0 0.85859 31.287
0 0.86869 30.004
0 0.87879 28.768
0 0.88889 27.577
0 0.89899 26.432
0 0.90909 25.333
0 0.91919 24.28
0 0.92929 23.273
0 0.93939 22.312
0 0.94949 21.397
0 0.9596 20.527
0 0.9697 19.703
0 0.9798 18.926
0 0.9899 18.194
0 1 17.508
0.010101 0 291.98
0.010101 0.010101 286.93
0.010101 0.020202 281.92
0.010101 0.030303 276.96
0.010101 0.040404 272.04
0.010101 0.050505 267.17
0.010101 0.060606 262.35
0.010101 0.070707 257.57
0.010101 0.080808 252.84
0.010101 0.090909 248.15
0.010101 0.10101 243.51
0.010101 0.11111 238.91
0.010101 0.12121 234.37
0.010101 0.13131 229.86
0.010101 0.14141 225.41
0.010101 0.15152 220.99
0.010101 0.16162 216.63
0.010101 0.17172 212.31
0.010101 0.18182 208.04
0.010101 0.19192 203.81
0.010101 0.20202 199.63
0.010101 0.21212 195.49
0.010101 0.22222 191.4
0.010101 0.23232 187.36
0.010101 0.24242 183.36
0.010101 0.25253 179.41
0.010101 0.26263 175.5
0.010101 0.27273 171.64
0.010101 0.28283 167.83
0.010101 0.29293 164.06
0.010101 0.30303 160.34
0.010101 0.31313 156.66
0.010101 0.32323 153.03
0.010101 0.33333 149.45
0.010101 0.34343 145.91
0.010101 0.35354 142.41
0.010101 0.36364 138.97
0.010101 0.37374 135.57
0.010101 0.38384 132.21
0.010101 0.39394 128.9
0.010101 0.40404 125.64
0.010101 0.41414 122.42
0.010101 0.42424 119.25
0.010101 0.43434 116.13
0.010101 0.44444 113.05
0.010101 0.45455 110.01
0.010101 0.46465 107.02
0.010101 0.47475 104.08
0.010101 0.48485 101.19
0.010101 0.49495 98.337
0.010101 0.50505 95.533
0.010101 0.51515 92.775
0.010101 0.52525 90.063
0.010101 0.53535 87.397
0.010101 0.54545 84.777
0.010101 0.55556 82.2
0.010101 0.56566 79.672
0.010101 0.57576 77.189
0.010101 0.58586 74.753
0.010101 0.59596 72.362
0.010101 0.60606 70.017
0.010101 0.61616 67.719
0.010101 0.62626 65.466
0.010101 0.63636 63.259
0.010101 0.64646 61.098
0.010101 0.65657 58.98
0.010101 0.66667 56.911
0.010101 0.67677 54.888
0.010101 0.68687 52.91
0.010101 0.69697 50.979
0.010101 0.70707 49.093
0.010101 0.71717 47.254
0.010101 0.72727 45.46
0.010101 0.73737 43.712
0.010101 0.74747 42.01
0.010101 0.75758 40.352
0.010101 0.76768 38.742
0.010101 0.77778 37.178
0.010101 0.78788 35.659
0.010101 0.79798 34.187
