x0 x1 y0  
0.76424 0.81329 142.42
0.15436 0.67744 2.4693
0.81421 0.97767 195.94
0.23685 0.21283 40.145
0.82815 0.55689 63.712
0.73478 0.28202 29.071
0.22481 0.60532 9.4732
0.46694 0.53386 27.858
0.799 0.070706 17.349
0.25963 0.19995 38.497
0.1644 0.87206 7.0371
0.91066 0.78122 99.367
0.13958 0.16596 85.805
0.97678 0.35444 7.6325
0.63818 0.80588 122.4
0.16206 0.94116 12.017
0.81985 0.83942 143.35
0.67584 0.44112 42.946
0.011938 0.61722 66.05
0.81032 0.13156 16.739
0.78267 0.59683 79.628
0.31764 0.75606 43.931
0.060672 0.053658 196.65
0.72662 0.30289 30.713
0.74581 0.45243 51.915
0.54753 0.039329 3.0796
0.1694 0.12382 80.65
0.32157 0.49116 20.625
0.37834 0.48131 22.492
0.93643 0.90962 132.64
0.9002 0.41059 23.133
0.85583 0.20984 13.001
0.099908 0.27655 82.159
0.20526 0.57579 7.5105
0.041823 0.37625 102.56
0.035635 0.40269 100.63
0.28329 0.65732 23.741
0.26739 0.73912 26.74
0.28867 0.50331 17.707
0.48326 0.81214 86.933
0.47297 0.015331 14.216
0.66313 0.099229 12.272
0.089973 0.53802 31.436
0.76202 0.39574 42.815
0.55138 0.50809 30.124
0.86388 0.85614 137.29
0.36343 0.98532 108.36
0.52911 0.92359 130.87
0.9244 0.0075037 5.5887
0.70397 0.96159 193.53
0.11593 0.028202 147.87
0.66227 0.88277 154.9
0.9165 0.56334 44.601
0.69015 0.59356 75.348
0.87614 0.24415 11.501
0.17835 0.1004 82.496
0.087106 0.90147 1.8371
0.5205 0.29132 4.2405
0.18655 0.85963 11.976
0.19978 0.9287 23.815
0.34396 0.26436 22.664
0.42759 0.31645 12.046
0.93884 0.47403 25.052
0.77983 0.085887 18.813
0.5116 0.30774 5.2242
0.60313 0.74674 94.821
0.7933 0.024648 18.474
0.31244 0.68159 32.915
0.77082 0.79619 136.39
0.24954 0.43559 15.756
0.71181 0.38424 39.379
0.61879 0.54984 50.801
0.8009 0.34955 33.564
0.50231 0.0021381 9.7524
0.7511 0.67092 99.959
0.32728 0.93491 81.627
0.020989 0.46507 96.533
0.25361 0.8224 31.562
0.99956 0.63833 45.185
0.41251 0.63688 41.269
0.29535 0.068037 53.229
0.53214 0.79066 89.959
0.84967 0.23495 15.461
0.97053 0.3192 5.316
0.61286 0.87736 138.92
0.35325 0.20304 25.38
0.4468 0.10775 12.944
0.59054 0.33945 13.71
0.12998 0.12531 104.01
0.35713 0.47993 22.062
0.69501 0.16213 17.878
0.045843 0.19107 160.01
0.96009 0.15278 0.42728
0.38744 0.43005 19.356
0.19287 0.46234 14.045
0.20812 0.22777 43.437
0.84032 0.32823 25.011
0.8572 0.66741 82.903
0.67091 0.4954 51.467
0.73969 0.39371 42.541
0.14439 0.83482 1.7967
0.71662 0.76517 125.55
0.99182 0.91527 119
0.88356 0.60802 61.859
0.4118 0.03455 28.03
0.48951 0.71669 63.674
0.42005 0.69708 52.351
0.59968 0.84962 125.59
0.57255 0.078251 1.946
0.24314 0.5286 12.287
0.89842 0.94588 158.09
0.95143 0.62772 50.456
0.96332 0.18257 0.45963
0.9496 0.52278 30.97
0.37326 0.36437 18.07
0.21842 0.25056 37.361
0.58529 0.88751 134.13
0.64861 0.41564 33.898
0.65193 0.86357 145.41
0.30492 0.42315 18.869
0.33357 0.89856 75.613
0.49639 0.1386 3.2713
0.89166 0.75814 98.157
0.27437 0.62265 19.438
0.38982 0.048029 32.547
0.56054 0.17482 1.0351
0.63561 0.58564 62.248
0.27977 0.33537 22.102
0.075666 0.55446 36.03
0.052246 0.27271 124.6
0.98324 0.18089 0.89927
0.12444 0.21981 80.644
0.72397 0.058251 18.809
0.63034 0.77365 110.2
0.43728 0.64577 44.381
0.46232 0.65246 47.321
0.60974 0.9938 181.34
0.064822 0.70084 19.874
0.39898 0.73318 56.78
0.87285 0.72182 93.232
0.53981 0.24037 2.0863
0.072391 0.99325 3.5997
0.33896 0.97404 96.025
0.57644 0.44674 24.511
0.51568 0.26238 2.9288
0.56302 0.35685 11.745
0.40207 0.82817 77.759
0.0029436 0.51257 100.15
0.10232 0.71163 6.6155
0.47609 0.73039 65.212
0.13736 0.1132 102.54
0.8324 0.95041 180.67
0.68494 0.68877 98.51
0.22837 0.14431 54.338
0.031078 0.09191 218.33
0.013465 0.37037 133.03
0.10665 0.96271 3.075
0.45048 0.29871 8.9916
0.93076 0.78444 94.622
0.43909 0.56956 32.347
