x0 x1 y0  
0.48799 0.68242 0.3
0.14845 0.85988 0.3
0.090685 0.57769 0.3
0.84499 0.077957 0.3
0.98683 0.69664 0.3
0.015371 0.31912 0.10208
0.6012 0.99458 0.3
0.61075 0.070982 0.3
0.97132 0.96507 0.3
0.88358 0.31292 0.3
0.86519 0.15162 0.3
0.21973 0.61188 0.3
0.0058493 0.025493 0.00068409
0.23872 0.6298 0.3
0.64267 0.39102 0.3
0.50531 0.8987 0.3
0.41952 0.90215 0.3
0.38424 0.8796 0.3
0.1109 0.58192 0.3
0.17918 0.91365 0.3
0.25308 0.21756 0.11138
0.019952 0.672 0.3
0.28361 0.75829 0.3
0.03046 0.8857 0.3
0.010926 0.16067 0.025935
0.40207 0.59919 0.3
0.76138 0.6404 0.3
0.78095 0.72887 0.3
0.81711 0.0048305 0.3
0.80417 0.41581 0.3
0.34183 0.80707 0.3
0.17141 0.67929 0.3
0.1857 0.16265 0.06094
0.74239 0.19848 0.3
0.066498 0.61817 0.3
0.24966 0.89151 0.3
0.83571 0.50743 0.3
0.050181 0.42524 0.18335
0.15758 0.97761 0.3
0.23253 0.86281 0.3
0.11966 0.17754 0.045839
0.32318 0.23003 0.15736
0.46531 0.471 0.3
0.26163 0.38366 0.21565
0.040782 0.72274 0.3
0.11616 0.11624 0.027005
0.30249 0.35045 0.21431
0.47906 0.75465 0.3
0.94902 0.3718 0.3
0.54644 0.657 0.3
0.78271 0.98502 0.3
0.54191 0.78969 0.3
0.31195 0.93339 0.3
0.076003 0.93995 0.3
0.81914 0.35893 0.3
0.060206 0.33622 0.11667
0.032136 0.91986 0.3
0.65321 0.27944 0.3
0.72496 0.94753 0.3
0.14015 0.5294 0.2999
0.31386 0.32881 0.20662
0.62849 0.4981 0.3
0.47135 0.12465 0.23771
0.73084 0.9255 0.3
0.6334 0.95834 0.3
0.3604 0.098933 0.13967
0.099089 0.19034 0.046046
0.44182 0.085278 0.20247
0.21386 0.57239 0.3
0.91355 0.71481 0.3
0.55827 0.60317 0.3
0.3654 0.53809 0.3
0.89338 0.25737 0.3
0.49632 0.36545 0.3
0.41322 0.80619 0.3
0.13578 0.95518 0.3
0.33227 0.2882 0.19346
0.43033 0.66771 0.3
0.7997 0.041638 0.3
0.39753 0.63344 0.3
0.26895 0.024168 0.072917
0.87405 0.56619 0.3
0.56622 0.76766 0.3
0.52327 0.12885 0.29042
0.97663 0.64443 0.3
0.43405 0.65104 0.3
0.68697 0.55509 0.3
0.18813 0.46557 0.25215
0.95329 0.70221 0.3
0.48656 0.31068 0.3
0.70142 0.99117 0.3
0.50728 0.09097 0.2656
0.5294 0.73742 0.3
0.45296 0.6915 0.3
0.89708 0.74048 0.3
0.62145 0.23832 0.3
0.69308 0.48601 0.3
0.59434 0.50264 0.3
0.98974 0.20295 0.3
0.66617 0.62219 0.3
0.32854 0.045492 0.11001
0.7558 0.23428 0.3
0.29776 0.51794 0.3
0.2633 0.1 0.079326
0.83897 0.056303 0.3
0.55522 0.78156 0.3
0.82964 0.34074 0.3
0.9245 0.81793 0.3
0.58222 0.5452 0.3
0.10247 0.84427 0.3
0.69953 0.79862 0.3
0.78857 0.43593 0.3
0.084717 0.52086 0.27847
0.21162 0.27037 0.11788
0.7136 0.90868 0.3
0.9106 0.29438 0.3
0.22844 0.53661 0.3
0.37299 0.28222 0.21877
0.37589 0.85079 0.3
0.73544 0.035056 0.3
0.95758 0.83718 0.3
0.069436 0.05007 0.0073283
0.20542 0.17034 0.071213
0.87845 0.77394 0.3
0.56946 0.14119 0.3
0.92901 0.44502 0.3
0.61731 0.58781 0.3
0.39057 0.016742 0.15282
0.64729 0.26259 0.3
0.16391 0.3998 0.18671
0.85557 0.30605 0.3
0.76284 0.18728 0.3
0.15176 0.24979 0.085426
0.77495 0.40732 0.3
0.85845 0.44078 0.3
0.45691 0.87053 0.3
0.81019 0.49199 0.3
0.94041 0.06482 0.3
0.34966 0.97083 0.3
0.40985 0.010757 0.16809
0.5367 0.47823 0.3
0.27854 0.71098 0.3
0.96841 0.74874 0.3
0.19415 0.25485 0.10264
0.51392 0.84331 0.3
0.049959 0.22441 0.052855
0.99774 0.13269 0.3
0.35078 0.20948 0.16693
0.58096 0.34456 0.3
0.93464 0.77595 0.3
0.59097 0.55935 0.3
0.70959 0.4602 0.3
0.29025 0.38012 0.22874
0.67262 0.4049 0.3
0.90384 0.8262 0.3
0.74931 0.45229 0.3
0.67756 0.42137 0.3
0.66137 0.1079 0.3
0.12576 0.14976 0.038245
0.44922 0.82069 0.3
