x0 x1 y0
0 0 890
0 1 1490
1 0 1586
1 1 2186
0.90525 0.459 151.37
0.36245 0.68845 48.674
0.91119 0.54692 196.55
0.68835 0.19718 162.38
0.62349 0.89142 290.58
0.1327 0.47367 193.65
0.41589 0.68938 67.514
0.16219 0.21585 4.4187
0.82797 0.41377 15.91
0.8586 0.97688 1078.4
0.40853 0.17989 230.29
0.30206 0.33069 82.146
0.19726 0.55616 111.85
0.5398 0.22312 219.06
0.62574 0.0010751 1137.8
0.095522 0.75821 250.23
0.5771 0.2746 166.63
0.024237 0.76914 621.43
0.65898 0.065778 644.62
0.63897 0.94608 552.1
0.13602 0.32311 82.551
0.74508 0.74533 21.587
0.64944 0.79294 69.355
0.49778 0.24037 206.41
0.97953 0.45826 468.07
0.33644 0.65971 55.343
0.20341 0.58367 98.356
0.49947 0.6504 98.605
0.66388 0.75871 37.429
0.99888 0.46547 597.23
0.87781 0.76894 226.58
0.85739 0.31806 31.361
0.58723 0.73244 53.961
0.76366 0.36699 8.3448
0.76889 0.41342 9.9073
0.47419 0.84835 148.52
