x0 x1 y0  
0.29078 0.85126 68.409
0.36051 0.68683 48.782
0.37788 0.92659 328.64
0.89299 0.49167 129.26
0.49688 0.56362 146.42
0.81332 0.37955 4.1841
0.97893 0.88162 1096.9
0.75768 0.065288 587.39
0.72412 0.11556 358.27
0.86481 0.44036 59.94
0.21471 0.98619 600.67
0.56141 0.46349 155.56
0.67215 0.76022 36.232
0.08689 0.6335 318.53
0.74062 0.28906 32.242
0.32454 0.047206 560.89
0.34962 0.54679 123.65
0.11589 0.18661 48.469
0.44155 0.59818 126.9
0.63159 0.12739 380.75
0.90371 0.36543 118.04
0.051469 0.5022 477.17
0.024377 0.23348 343.87
0.69606 0.95119 608.44
0.17563 0.60045 117.8
0.45371 0.92067 353.22
0.94304 0.16911 375.08
0.96354 0.083284 778.7
0.41582 0.31978 158.54
0.23652 0.32571 43.072
0.57746 0.7092 58.203
0.1723 0.7964 67.286
0.26215 0.74983 0.77192
0.83546 0.80966 196.94
0.045883 0.41871 446.22
0.12744 0.84777 208.53
0.50789 0.20775 239.29
0.62189 0.26058 145.06
0.54448 0.003742 1118.7
0.79345 0.66489 11.61
