x0 x1 y0
0 0 0
0 1 -2.9995e-032
1 0 1.4998e-032
1 1 -1.4998e-032
0.44184 0.22431 0.76739
0.73097 0.15503 0.81415
0.51028 0.53527 1.6972
0.64572 0.97294 0.83873
0.17134 0.64833 0.47596
0.91835 0.67789 0.33308
0.59063 0.48367 1.8472
0.7074 0.65751 1.1582
0.50679 0.83702 0.25544
0.54832 0.70878 0.7891
0.077562 0.97342 -0.022443
0.44672 0.28041 0.94422
0.04512 0.14298 0.056525
0.7932 0.21288 0.72997
0.90057 0.41139 1.0122
0.025049 0.69345 0.098568
0.56382 0.53246 1.7968
0.95922 0.82014 -0.44169
0.21928 0.79462 -0.34638
0.84203 0.029279 0.37765
0.79591 0.063464 0.55131
0.54421 0.22765 1.0039
0.34837 0.38252 1.0724
0.046655 0.87363 -0.38433
0.59137 0.80957 0.38755
0.4164 0.95789 0.43511
0.53761 0.016296 0.78287
0.84276 0.6476 0.8083
0.041459 0.26682 0.32228
0.74758 0.28724 1.0892
0.97944 0.51433 1.003
0.64267 0.55966 1.7738
0.37049 0.95121 0.29786
0.044288 0.82778 -0.4721
0.30227 0.29092 0.63178
0.68552 0.17179 0.92593
0.14047 0.44095 0.95002
0.96622 0.83852 -0.44295
0.10299 0.71233 -0.02598
0.24554 0.45505 1.0855
0.41926 0.52728 1.4887
0.79895 0.94292 0.42113
0.019962 0.43277 0.90294
0.33386 0.78687 -0.12511
0.99975 0.61988 0.61827
0.41947 0.84652 0.05482
0.11727 0.11152 0.042347
0.39106 0.99406 0.43398
0.51873 0.066795 0.75273
0.52098 0.61519 1.3982
0.44919 0.70018 0.63422
0.20379 0.5801 0.90663
0.6147 0.61753 1.5003
0.46676 0.42975 1.5235
0.40829 0.70396 0.50187
0.81479 0.1209 0.51233
0.79737 0.6067 1.2373
0.089247 0.90438 -0.26246
0.32427 0.34756 0.88694
0.92153 0.0051468 0.11133
0.16126 0.6806 0.2328
0.26955 0.93997 0.044249
0.63976 0.29281 1.2768
0.54855 0.52553 1.7846
0.40507 0.20082 0.61907
0.051977 0.013825 0.0014318
0.92255 0.83738 -0.3575
0.63963 0.064765 0.874
0.89826 0.31829 0.67933
0.3144 0.029787 0.2556
0.22352 0.70453 0.11927
0.59598 0.016919 0.85786
0.74914 0.047398 0.69805
0.68836 0.19509 0.96343
0.95117 0.63121 0.59089
0.9855 0.77753 -0.3888
0.63239 0.47036 1.8494
0.58831 0.94161 0.73231
0.68551 0.89427 0.5209
0.38553 0.37345 1.1298
0.59087 0.74496 0.6106
0.022874 0.71336 -0.043588
0.69471 0.42324 1.6938
0.68334 0.99223 0.83177
0.20393 0.68164 0.26332
0.98522 0.95636 -0.065585
0.78363 0.73227 0.42051
0.94792 0.87706 -0.32293
0.79279 0.74205 0.33059
0.36093 0.36176 1.0252
0.89566 0.26138 0.49204
0.41534 0.55388 1.4213
0.76853 0.71525 0.58128
0.43734 0.6619 0.88555
0.28937 0.65042 0.61909
0.59306 0.92049 0.65311
0.3913 0.65748 0.79924
0.86767 0.084485 0.29475
0.15444 0.4742 1.0192
0.4413 0.845 0.10859
0.33817 0.4982 1.3071
0.63687 0.093435 0.88515
0.089523 0.38796 0.76818
0.49688 0.79591 0.25527
0.50158 0.1069 0.73425
0.92941 0.06144 0.095827
0.60378 0.82349 0.38907
0.22597 0.30004 0.53776
0.21218 0.21389 0.26365
0.57049 0.33829 1.408
0.069818 0.70696 0.0043455
0.38371 0.76294 0.082507
0.37525 0.7448 0.15336
0.3595 0.82943 -0.11517
0.76879 0.20524 0.79441
0.949 0.72713 -0.086678
0.0093622 0.014314 6.5968e-005
0.022095 0.4693 0.97811
0.4202 0.043579 0.51186
0.89037 0.95931 0.14341
0.22074 0.24597 0.3565
0.6112 0.33723 1.4379
0.59612 0.75689 0.5521
0.5473 0.43215 1.7005
0.9575 0.66588 0.33638
0.77066 0.40851 1.4624
0.31638 0.65779 0.62027
0.82309 0.86167 0.027151
0.47443 0.020372 0.64772
0.4477 0.30901 1.047
0.98555 0.068705 0.010436
0.70793 0.002567 0.79412
0.60893 0.43291 1.7687
0.09803 0.088589 0.022692
0.40371 0.62929 1.0261
0.026484 0.72859 -0.14484
0.488 0.28595 1.0643
0.32164 0.21556 0.45083
0.41047 0.4192 1.3495
0.02151 0.60946 0.68053
0.02591 0.73013 -0.1546
0.65255 0.73492 0.67891
0.68025 0.74703 0.58353
0.97893 0.82703 -0.46456
0.93228 0.46843 1.0612
0.97539 0.7621 -0.31867
0.9534 0.76877 -0.31831
0.084892 0.66718 0.29842
0.22429 0.20324 0.25489
0.89926 0.24907 0.44392
0.58994 0.75682 0.54755
0.044896 0.36132 0.66392
0.24247 0.61718 0.76152
0.53112 0.24983 1.0411
0.10254 0.24085 0.25518
0.10233 0.50042 1.0104
