x0 x1 y0  
0.10189 0.97011 -0.023639
0.099914 0.70487 0.025555
0.50581 0.87412 0.33614
0.67118 0.94694 0.74818
0.70935 0.88424 0.44279
0.12085 0.90126 -0.26518
0.21422 0.54496 1.0368
0.99173 0.59997 0.73431
0.52905 0.67247 1.0205
0.15129 0.21371 0.20896
0.31923 0.28082 0.63245
0.75141 0.60418 1.3997
0.13035 0.32493 0.54622
0.9689 0.98547 0.010424
0.13864 0.50313 1.0252
0.52203 0.8127 0.28397
0.17813 0.62275 0.65318
0.90598 0.15082 0.22035
0.83152 0.76397 0.077502
0.98013 0.78572 -0.4115
0.74709 0.19831 0.84439
0.92014 0.91922 -0.092666
0.47916 0.42464 1.5393
0.80941 0.44798 1.4377
0.54519 0.014174 0.79584
0.56265 0.10901 0.84738
0.59926 0.832 0.38926
0.67729 0.63508 1.3618
0.083162 0.89032 -0.32011
0.57679 0.23816 1.0773
0.33339 0.99397 0.2949
0.64868 0.0040076 0.86538
0.30927 0.52772 1.2247
0.041899 0.68677 0.14829
0.88326 0.26558 0.54609
0.29381 0.75434 -0.079493
0.83757 0.80329 -0.064651
0.69669 0.083244 0.82548
0.23629 0.85346 -0.32222
0.82498 0.3541 1.0763
0.95427 0.13569 0.087407
0.4343 0.74906 0.28104
0.019483 0.39605 0.78958
0.89585 0.95321 0.10726
0.4058 0.84068 0.010798
0.027857 0.55144 0.93074
0.79837 0.69786 0.60394
0.051762 0.14679 0.06142
0.63023 0.71517 0.81387
0.3915 0.17789 0.54121
0.60572 0.46198 1.8307
0.85332 0.32823 0.87264
0.17119 0.30498 0.49846
0.36505 0.92542 0.18834
0.48776 0.64341 1.1424
0.66016 0.20791 1.0213
0.76433 0.72687 0.51713
0.010764 0.030246 0.00055767
0.55687 0.58453 1.6233
0.41392 0.49143 1.4922
0.47434 0.054288 0.65048
0.33789 0.3697 1.001
0.92682 0.43503 1.0064
0.78132 0.037852 0.59747
0.7283 0.29477 1.1652
0.35875 0.5213 1.3437
0.069937 0.087719 0.016499
0.62224 0.11697 0.90038
0.384 0.46275 1.3856
0.45075 0.25457 0.87273
0.25836 0.38604 0.90533
0.20286 0.34774 0.68815
0.28302 0.56736 1.073
0.71955 0.064317 0.77542
0.24946 0.79004 -0.29392
0.86901 0.48634 1.2737
0.2747 0.2367 0.41184
0.44749 0.16689 0.66759
0.94203 0.40756 0.89078
0.19268 0.65038 0.48044
