x0 x1 y0
0 0 -4.8194
0 1 5.4206
1 0 5.4206
1 1 15.661
0.88974 0.4486 23.344
0.55441 0.55701 39.148
0.092594 0.89085 5.1156
0.43335 0.63992 33.986
0.93519 0.50587 24.848
0.16822 0.10928 10.597
0.76993 0.39106 13.286
0.013393 0.89815 0.30189
0.83104 0.52312 30.493
0.58316 0.1302 8.8168
0.50689 0.41179 1.9268
0.7968 0.8924 7.4242
0.84909 0.9792 29.058
0.80394 0.27743 15.043
0.65975 0.69117 20.518
0.038069 0.66169 23.752
0.2248 0.57381 13.426
0.54358 0.068048 34.316
0.16721 0.49833 15
0.19519 0.1418 10.906
0.8753 0.44601 27.225
0.23194 0.80335 12.829
0.43915 0.15456 32.719
0.039479 0.20765 4.4347
0.84381 0.5153 28.062
0.02046 0.29217 -2.4259
0.80832 0.97924 14.207
0.71254 0.01126 2.7177
0.79296 0.8217 19.039
0.66152 0.52458 27.688
0.44536 0.27709 28.502
0.95237 0.43786 37.286
0.90342 0.40796 7.0359
0.68796 0.57631 11.846
0.18189 0.093232 7.9705
0.10568 0.3503 14.497
0.41918 0.55222 24.783
0.76639 0.60301 15.761
0.62773 0.21003 12.086
0.85683 0.87108 30.05
0.18149 0.09061 9.7143
0.92382 0.45153 39.196
0.30215 0.13071 2.3599
0.82101 0.39736 15.062
0.15366 0.52259 25.09
0.31765 0.69999 3.9123
0.95521 0.61935 29.432
0.52808 0.57209 24.103
0.30883 0.072355 11.267
0.84447 0.28398 28.809
0.18213 0.61003 11.186
0.23782 0.28531 15.923
0.24227 0.92444 33.809
0.9413 0.63566 43.51
0.20358 0.94985 19.663
0.78956 0.42301 10.028
0.70103 0.73958 24.754
0.11531 0.81866 10.864
0.46536 0.37781 24.586
0.85284 0.80106 25.602
0.78186 0.14918 20.104
0.44805 0.83017 39.977
0.10592 0.42175 2.2433
0.9875 0.70482 8.9152
0.50318 0.21765 -0.40558
0.20762 0.70305 0.30694
0.96693 0.26486 28.785
0.2176 0.93031 22.056
0.26781 0.091888 16.321
0.87527 0.53093 22.728
0.13623 0.87736 15.131
0.58606 0.49237 4.6382
0.74772 0.17568 33.266
0.73005 0.48012 25.439
0.47794 0.48682 11.513
0.60703 0.69077 5.2367
