x0 x1 y0
0 0 -4.8194
0 0.010101 -7.3721
0 0.020202 -5.8699
0 0.030303 -0.88294
0 0.040404 5.5977
0 0.050505 10.972
0 0.060606 13.091
0 0.070707 11.133
0 0.080808 5.9381
0 0.090909 -0.33302
0 0.10101 -5.0817
0 0.11111 -6.3297
0 0.12121 -3.5268
0 0.13131 2.2267
0 0.14141 8.6275
0 0.15152 13.112
0 0.16162 13.885
0 0.17172 10.679
0 0.18182 4.8448
0 0.19192 -1.1988
0 0.20202 -4.9457
0 0.21212 -4.8264
0 0.22222 -0.84727
0 0.23232 5.4117
0 0.24242 11.441
0 0.25253 14.828
0 0.26263 14.226
0 0.27273 9.9282
0 0.28283 3.729
0 0.29293 -1.8027
0 0.30303 -4.3698
0 0.31313 -2.8839
0 0.32323 2.0917
0 0.33333 8.5707
0 0.34343 13.954
0 0.35354 16.091
0 0.36364 14.146
0 0.37374 8.9605
0 0.38384 2.6891
0 0.39394 -2.0692
0 0.40404 -3.3328
0 0.41414 -0.54435
0 0.42424 5.2017
0 0.43434 11.605
0 0.44444 16.098
0 0.45455 16.89
0 0.46465 13.698
0 0.47475 7.8693
0 0.48485 1.8214
0 0.49495 -1.9382
0 0.50505 -1.8347
0 0.51515 2.1317
0 0.52525 8.3865
0 0.53535 14.422
0 0.54545 17.82
0 0.55556 17.236
0 0.56566 12.95
0 0.57576 6.7532
0 0.58586 1.2141
0 0.59596 -1.3676
0 0.60606 0.10286
0 0.61616 5.0681
0 0.62626 11.546
0 0.63636 16.939
0 0.64646 19.09
0 0.65657 17.161
0 0.66667 11.984
0 0.67677 5.7119
0 0.68687 0.94321
0 0.69697 -0.3359
0 0.70707 2.4381
0 0.71717 8.1767
0 0.72727 14.583
0 0.73737 19.087
0 0.74747 19.896
0 0.75758 16.717
0 0.76768 10.894
0 0.77778 4.8417
0 0.78788 1.0694
0 0.79798 1.1569
0 0.80808 5.1107
0 0.81818 11.361
0 0.82828 17.403
0 0.83838 20.815
0 0.84848 20.248
0 0.85859 15.971
0 0.86869 9.7774
0 0.87879 4.2308
0 0.88889 1.6348
0 0.89899 3.0897
0 0.90909 8.0446
0 0.91919 14.522
0 0.92929 19.923
0 0.93939 22.09
0 0.94949 20.179
0 0.9596 15.008
0 0.9697 8.7347
0 0.9798 3.9557
0 0.9899 2.6611
0 1 5.4206
0.010101 0 -7.3721
0.010101 0.010101 -9.9249
0.010101 0.020202 -8.4226
0.010101 0.030303 -3.4357
0.010101 0.040404 3.0449
0.010101 0.050505 8.4192
0.010101 0.060606 10.538
0.010101 0.070707 8.58
0.010101 0.080808 3.3853
0.010101 0.090909 -2.8858
0.010101 0.10101 -7.6344
0.010101 0.11111 -8.8824
0.010101 0.12121 -6.0795
0.010101 0.13131 -0.3261
0.010101 0.14141 6.0748
0.010101 0.15152 10.559
0.010101 0.16162 11.332
0.010101 0.17172 8.1267
0.010101 0.18182 2.2921
0.010101 0.19192 -3.7516
0.010101 0.20202 -7.4985
0.010101 0.21212 -7.3791
0.010101 0.22222 -3.4
0.010101 0.23232 2.859
0.010101 0.24242 8.8887
0.010101 0.25253 12.275
0.010101 0.26263 11.673
0.010101 0.27273 7.3754
0.010101 0.28283 1.1763
0.010101 0.29293 -4.3554
0.010101 0.30303 -6.9226
0.010101 0.31313 -5.4366
0.010101 0.32323 -0.46111
0.010101 0.33333 6.018
0.010101 0.34343 11.402
0.010101 0.35354 13.538
0.010101 0.36364 11.594
0.010101 0.37374 6.4078
0.010101 0.38384 0.13638
0.010101 0.39394 -4.622
0.010101 0.40404 -5.8856
0.010101 0.41414 -3.0971
0.010101 0.42424 2.6489
0.010101 0.43434 9.0524
0.010101 0.44444 13.545
0.010101 0.45455 14.337
0.010101 0.46465 11.145
0.010101 0.47475 5.3166
0.010101 0.48485 -0.73135
0.010101 0.49495 -4.4909
0.010101 0.50505 -4.3875
0.010101 0.51515 -0.42107
0.010101 0.52525 5.8337
0.010101 0.53535 11.869
0.010101 0.54545 15.268
0.010101 0.55556 14.683
0.010101 0.56566 10.397
0.010101 0.57576 4.2005
0.010101 0.58586 -1.3387
0.010101 0.59596 -3.9203
0.010101 0.60606 -2.4499
0.010101 0.61616 2.5153
0.010101 0.62626 8.9936
0.010101 0.63636 14.386
0.010101 0.64646 16.537
0.010101 0.65657 14.608
0.010101 0.66667 9.4314
0.010101 0.67677 3.1591
0.010101 0.68687 -1.6095
0.010101 0.69697 -2.8887
0.010101 0.70707 -0.11465
0.010101 0.71717 5.6239
0.010101 0.72727 12.03
0.010101 0.73737 16.534
0.010101 0.74747 17.343
0.010101 0.75758 14.164
0.010101 0.76768 8.3411
0.010101 0.77778 2.2889
0.010101 0.78788 -1.4833
0.010101 0.79798 -1.3958
0.010101 0.80808 2.5579
0.010101 0.81818 8.8084
0.010101 0.82828 14.85
0.010101 0.83838 18.262
0.010101 0.84848 17.696
0.010101 0.85859 13.419
0.010101 0.86869 7.2247
0.010101 0.87879 1.6781
0.010101 0.88889 -0.91797
0.010101 0.89899 0.5369
0.010101 0.90909 5.4918
0.010101 0.91919 11.969
0.010101 0.92929 17.371
0.010101 0.93939 19.537
0.010101 0.94949 17.627
0.010101 0.9596 12.455
0.010101 0.9697 6.1819
0.010101 0.9798 1.403
0.010101 0.9899 0.10832
0.010101 1 2.8679
0.020202 0 -5.8699
0.020202 0.010101 -8.4226
0.020202 0.020202 -6.9204
0.020202 0.030303 -1.9334
0.020202 0.040404 4.5472
0.020202 0.050505 9.9214
0.020202 0.060606 12.04
0.020202 0.070707 10.082
0.020202 0.080808 4.8876
0.020202 0.090909 -1.3835
0.020202 0.10101 -6.1322
0.020202 0.11111 -7.3802
0.020202 0.12121 -4.5773
0.020202 0.13131 1.1761
0.020202 0.14141 7.577
0.020202 0.15152 12.061
0.020202 0.16162 12.834
0.020202 0.17172 9.629
0.020202 0.18182 3.7943
0.020202 0.19192 -2.2493
0.020202 0.20202 -5.9962
0.020202 0.21212 -5.8769
0.020202 0.22222 -1.8978
0.020202 0.23232 4.3612
0.020202 0.24242 10.391
0.020202 0.25253 13.777
0.020202 0.26263 13.175
0.020202 0.27273 8.8777
0.020202 0.28283 2.6785
0.020202 0.29293 -2.8532
0.020202 0.30303 -5.4204
0.020202 0.31313 -3.9344
0.020202 0.32323 1.0411
0.020202 0.33333 7.5202
0.020202 0.34343 12.904
0.020202 0.35354 15.04
0.020202 0.36364 13.096
0.020202 0.37374 7.91
0.020202 0.38384 1.6386
0.020202 0.39394 -3.1198
0.020202 0.40404 -4.3833
0.020202 0.41414 -1.5949
0.020202 0.42424 4.1511
0.020202 0.43434 10.555
0.020202 0.44444 15.047
0.020202 0.45455 15.839
0.020202 0.46465 12.648
0.020202 0.47475 6.8188
0.020202 0.48485 0.7709
0.020202 0.49495 -2.9887
0.020202 0.50505 -2.8853
0.020202 0.51515 1.0812
0.020202 0.52525 7.3359
0.020202 0.53535 13.372
0.020202 0.54545 16.77
0.020202 0.55556 16.185
0.020202 0.56566 11.899
0.020202 0.57576 5.7027
0.020202 0.58586 0.16355
0.020202 0.59596 -2.4181
0.020202 0.60606 -0.94765
0.020202 0.61616 4.0176
0.020202 0.62626 10.496
0.020202 0.63636 15.888
0.020202 0.64646 18.04
0.020202 0.65657 16.111
0.020202 0.66667 10.934
0.020202 0.67677 4.6614
0.020202 0.68687 -0.1073
0.020202 0.69697 -1.3864
0.020202 0.70707 1.3876
0.020202 0.71717 7.1261
0.020202 0.72727 13.532
0.020202 0.73737 18.037
0.020202 0.74747 18.845
0.020202 0.75758 15.666
0.020202 0.76768 9.8433
0.020202 0.77778 3.7912
0.020202 0.78788 0.018906
0.020202 0.79798 0.10641
0.020202 0.80808 4.0602
0.020202 0.81818 10.311
0.020202 0.82828 16.352
0.020202 0.83838 19.764
0.020202 0.84848 19.198
0.020202 0.85859 14.921
0.020202 0.86869 8.7269
0.020202 0.87879 3.1803
0.020202 0.88889 0.58428
0.020202 0.89899 2.0391
0.020202 0.90909 6.994
0.020202 0.91919 13.471
0.020202 0.92929 18.873
0.020202 0.93939 21.039
0.020202 0.94949 19.129
0.020202 0.9596 13.957
0.020202 0.9697 7.6842
0.020202 0.9798 2.9052
0.020202 0.9899 1.6106
0.020202 1 4.3701
0.030303 0 -0.88294
0.030303 0.010101 -3.4357
0.030303 0.020202 -1.9334
0.030303 0.030303 3.0535
0.030303 0.040404 9.5341
0.030303 0.050505 14.908
0.030303 0.060606 17.027
0.030303 0.070707 15.069
0.030303 0.080808 9.8745
0.030303 0.090909 3.6034
0.030303 0.10101 -1.1452
0.030303 0.11111 -2.3932
0.030303 0.12121 0.40966
0.030303 0.13131 6.1631
0.030303 0.14141 12.564
0.030303 0.15152 17.048
0.030303 0.16162 17.821
0.030303 0.17172 14.616
0.030303 0.18182 8.7813
0.030303 0.19192 2.7376
0.030303 0.20202 -1.0093
0.030303 0.21212 -0.88993
0.030303 0.22222 3.0892
0.030303 0.23232 9.3482
0.030303 0.24242 15.378
0.030303 0.25253 18.764
0.030303 0.26263 18.162
0.030303 0.27273 13.865
0.030303 0.28283 7.6654
0.030303 0.29293 2.1338
0.030303 0.30303 -0.43341
0.030303 0.31313 1.0526
0.030303 0.32323 6.0281
0.030303 0.33333 12.507
0.030303 0.34343 17.891
0.030303 0.35354 20.027
0.030303 0.36364 18.083
0.030303 0.37374 12.897
0.030303 0.38384 6.6256
0.030303 0.39394 1.8672
0.030303 0.40404 0.60361
0.030303 0.41414 3.3921
0.030303 0.42424 9.1381
0.030303 0.43434 15.542
0.030303 0.44444 20.034
0.030303 0.45455 20.826
0.030303 0.46465 17.635
0.030303 0.47475 11.806
0.030303 0.48485 5.7578
0.030303 0.49495 1.9983
0.030303 0.50505 2.1017
0.030303 0.51515 6.0681
0.030303 0.52525 12.323
0.030303 0.53535 18.359
0.030303 0.54545 21.757
0.030303 0.55556 21.172
0.030303 0.56566 16.886
0.030303 0.57576 10.69
0.030303 0.58586 5.1505
0.030303 0.59596 2.5689
0.030303 0.60606 4.0393
0.030303 0.61616 9.0045
0.030303 0.62626 15.483
0.030303 0.63636 20.875
0.030303 0.64646 23.026
0.030303 0.65657 21.097
0.030303 0.66667 15.921
0.030303 0.67677 9.6483
0.030303 0.68687 4.8796
0.030303 0.69697 3.6005
0.030303 0.70707 6.3745
0.030303 0.71717 12.113
0.030303 0.72727 18.519
0.030303 0.73737 23.024
0.030303 0.74747 23.832
0.030303 0.75758 20.653
0.030303 0.76768 14.83
