x0 x1 y0  
0.76977 0.65301 32.677
0.051614 0.3818 20.127
0.45404 0.75937 37.588
0.60479 0.64367 23.416
0.25707 0.18535 22.508
0.9276 0.78726 25.216
0.075453 0.2902 13.286
0.16715 0.31075 13.794
0.66507 0.73482 36.012
0.9092 0.98558 15.645
0.82135 0.24647 31.449
0.88851 0.11783 1.6006
0.49595 0.48563 4.1255
0.2781 0.4193 13.682
0.9646 0.76915 26.658
0.23417 0.074729 20.787
0.20247 0.58104 3.3999
0.073719 0.23084 19.109
0.4015 0.014211 -5.8402
0.19231 0.035739 5.9996
0.98601 0.4118 5.974
0.034867 0.9911 9.6162
0.73865 0.93148 44.957
0.78138 0.20204 2.994
0.32682 0.262 23.554
0.09078 0.88811 6.2572
0.5365 0.38838 20.02
0.36696 0.32031 17.924
0.68878 0.21927 2.8701
0.51922 0.28201 13.573
0.15072 0.087691 19.319
0.4845 0.59277 5.857
0.58387 0.19942 2.6414
0.64245 0.87237 31.077
0.68638 0.95787 21.969
0.29476 0.82095 15.428
0.73371 0.14628 33.804
0.11764 0.94459 21.477
0.83714 0.84896 45.537
0.37854 0.35977 26.127
0.38925 0.97083 12.701
0.79693 0.52275 12.525
0.56391 0.57333 27.001
0.30499 0.33948 12.553
0.47146 0.16868 26.747
0.54678 0.85354 41.291
0.55131 0.80392 25.89
0.26338 0.9083 26.406
0.14258 0.0037769 7.8955
0.59139 0.82706 20.919
0.62012 0.10464 6.3873
0.65818 0.53183 33.836
0.10895 0.72219 9.8499
0.7608 0.46971 30.84
0.18518 0.87946 11.488
0.63704 0.69047 22.044
0.71298 0.045084 18.761
0.93801 0.45047 43.924
0.80398 0.92184 24.078
0.3488 0.49788 18.067
0.44963 0.61148 24.275
0.043128 0.67536 18.638
0.24743 0.7045 19.768
0.41563 0.74329 25.051
0.020284 0.79117 -0.38334
0.3188 0.079472 11.145
0.85507 0.55534 39.909
0.70332 0.50126 3.4267
0.95728 0.056905 33.983
0.13601 0.54513 27.88
0.3625 0.27251 29.427
0.21822 0.42834 9.8812
0.98765 0.36995 18.581
0.88416 0.67454 14.25
0.011584 0.3307 4.2898
0.92487 0.13228 25.528
0.43256 0.63136 29.934
0.86905 0.16049 28.38
0.50286 0.61758 8.5526
0.83829 0.44417 41.641
