x0 x1 y0
0 0 3905.9
0 1 469.95
1 0 3897.7
1 1 461.76
0.96976 0.77883 656.35
0.051499 0.67014 725.15
0.51381 0.033832 366.7
0.25942 0.69752 6.5665
0.41388 0.66123 30.559
0.58904 0.69311 43.699
0.25779 0.62853 24.929
0.80732 0.60175 136.44
0.7613 0.094319 788.03
0.41704 0.62622 17.918
0.16091 0.65232 176.05
0.51999 0.33777 45.894
0.21905 0.68915 34.822
0.28339 0.75444 10.065
0.23038 0.329 373.09
0.40415 0.47775 7.9562
0.13716 0.61369 310.02
0.17642 0.67227 115.87
0.85603 0.68594 186.55
0.026308 0.44629 1596.3
0.35445 0.10065 399.02
0.57505 0.95985 320.55
0.53309 0.98024 380.49
0.74047 0.45269 135.48
0.79125 0.62461 83.35
0.017956 0.79461 733.4
0.65956 0.6963 14.325
0.36722 0.33957 93.195
0.64308 0.27196 163.37
0.59708 0.44892 13.857
0.11312 0.62247 410.5
0.7531 0.54636 78.298
0.37532 0.95874 264.14
0.40057 0.19435 203
0.64513 0.65842 8.8964
0.0043324 0.46562 1826.3
0.90574 0.39855 1010.1
0.038885 0.020048 3069.9
0.81273 0.81787 11.558
0.61257 0.36065 61.659
0.18444 0.65799 110.02
0.099671 0.27348 1314.9
0.66052 0.7471 33.738
0.46912 0.81606 164.75
0.51786 0.11015 257.56
0.8707 0.99875 7.163
0.1236 0.32689 958.84
0.12964 0.43601 663.43
0.33199 0.0020096 634.55
0.57511 0.93546 285.75
0.086954 0.4885 853.72
0.72827 0.035435 771.2
0.50515 0.97006 371.49
0.41905 0.059527 368.16
0.77311 0.32717 383.91
0.78976 0.9143 8.351
0.55071 0.96539 347.73
0.042289 0.87707 396.49
0.87895 0.53608 511.73
0.44712 0.0032359 434.81
0.084379 0.62086 584.77
0.04234 0.73695 655.2
0.78521 0.32371 435.52
0.80898 0.20464 790.53
0.55521 0.89262 243.03
0.80949 0.94625 4.949
0.26016 0.79124 9.1225
0.32703 0.67387 7.3375
