x0 x1 y0
0 0 3905.9
0 0.010101 3854.4
0 0.020202 3803.3
0 0.030303 3752.5
0 0.040404 3702.1
0 0.050505 3651.9
0 0.060606 3602.2
0 0.070707 3552.7
0 0.080808 3503.7
0 0.090909 3454.9
0 0.10101 3406.5
0 0.11111 3358.5
0 0.12121 3310.7
0 0.13131 3263.4
0 0.14141 3216.3
0 0.15152 3169.6
0 0.16162 3123.3
0 0.17172 3077.3
0 0.18182 3031.6
0 0.19192 2986.3
0 0.20202 2941.3
0 0.21212 2896.7
0 0.22222 2852.4
0 0.23232 2808.5
0 0.24242 2764.9
0 0.25253 2721.6
0 0.26263 2678.6
0 0.27273 2636.1
0 0.28283 2593.8
0 0.29293 2551.9
0 0.30303 2510.4
0 0.31313 2469.2
0 0.32323 2428.3
0 0.33333 2387.8
0 0.34343 2347.6
0 0.35354 2307.7
0 0.36364 2268.2
0 0.37374 2229.1
0 0.38384 2190.3
0 0.39394 2151.8
0 0.40404 2113.7
0 0.41414 2075.9
0 0.42424 2038.4
0 0.43434 2001.3
0 0.44444 1964.6
0 0.45455 1928.1
0 0.46465 1892.1
0 0.47475 1856.3
0 0.48485 1820.9
0 0.49495 1785.9
0 0.50505 1751.2
0 0.51515 1716.8
0 0.52525 1682.8
0 0.53535 1649.1
0 0.54545 1615.8
0 0.55556 1582.8
0 0.56566 1550.1
0 0.57576 1517.8
0 0.58586 1485.9
0 0.59596 1454.2
0 0.60606 1423
0 0.61616 1392
0 0.62626 1361.4
0 0.63636 1331.2
0 0.64646 1301.3
0 0.65657 1271.7
0 0.66667 1242.4
0 0.67677 1213.6
0 0.68687 1185
0 0.69697 1156.8
0 0.70707 1129
0 0.71717 1101.4
0 0.72727 1074.3
0 0.73737 1047.4
0 0.74747 1021
0 0.75758 994.78
0 0.76768 968.98
0 0.77778 943.52
0 0.78788 918.4
0 0.79798 893.63
0 0.80808 869.19
0 0.81818 845.1
0 0.82828 821.35
0 0.83838 797.94
0 0.84848 774.88
0 0.85859 752.14
0 0.86869 729.76
0 0.87879 707.72
0 0.88889 686.02
0 0.89899 664.67
0 0.90909 643.66
0 0.91919 622.99
0 0.92929 602.67
0 0.93939 582.68
0 0.94949 563.04
0 0.9596 543.72
0 0.9697 524.77
0 0.9798 506.15
0 0.9899 487.88
0 1 469.95
0.010101 0 3699.1
0.010101 0.010101 3649
0.010101 0.020202 3599.2
0.010101 0.030303 3549.8
0.010101 0.040404 3500.7
0.010101 0.050505 3452
0.010101 0.060606 3403.6
0.010101 0.070707 3355.6
0.010101 0.080808 3307.9
0.010101 0.090909 3260.5
0.010101 0.10101 3213.5
0.010101 0.11111 3166.9
0.010101 0.12121 3120.5
0.010101 0.13131 3074.5
0.010101 0.14141 3028.9
0.010101 0.15152 2983.6
0.010101 0.16162 2938.6
0.010101 0.17172 2894
0.010101 0.18182 2849.7
0.010101 0.19192 2805.8
0.010101 0.20202 2762.2
0.010101 0.21212 2719
0.010101 0.22222 2676.1
0.010101 0.23232 2633.5
0.010101 0.24242 2591.3
0.010101 0.25253 2549.4
0.010101 0.26263 2507.9
0.010101 0.27273 2466.7
0.010101 0.28283 2425.8
0.010101 0.29293 2385.3
0.010101 0.30303 2345.2
0.010101 0.31313 2305.3
0.010101 0.32323 2265.9
0.010101 0.33333 2226.7
0.010101 0.34343 2187.9
0.010101 0.35354 2149.4
0.010101 0.36364 2111.3
0.010101 0.37374 2073.6
0.010101 0.38384 2036.1
0.010101 0.39394 1999.1
0.010101 0.40404 1962.3
0.010101 0.41414 1925.9
0.010101 0.42424 1889.9
0.010101 0.43434 1854.2
0.010101 0.44444 1818.8
0.010101 0.45455 1783.7
0.010101 0.46465 1749
0.010101 0.47475 1714.7
0.010101 0.48485 1680.7
0.010101 0.49495 1647.1
0.010101 0.50505 1613.7
0.010101 0.51515 1580.8
0.010101 0.52525 1548.1
0.010101 0.53535 1515.8
0.010101 0.54545 1483.9
0.010101 0.55556 1452.3
0.010101 0.56566 1421
0.010101 0.57576 1390.1
0.010101 0.58586 1359.5
0.010101 0.59596 1329.3
0.010101 0.60606 1299.4
0.010101 0.61616 1269.8
0.010101 0.62626 1240.6
0.010101 0.63636 1211.8
0.010101 0.64646 1183.2
0.010101 0.65657 1155
0.010101 0.66667 1127.2
0.010101 0.67677 1099.7
0.010101 0.68687 1072.5
0.010101 0.69697 1045.7
0.010101 0.70707 1019.3
0.010101 0.71717 993.13
0.010101 0.72727 967.35
0.010101 0.73737 941.9
0.010101 0.74747 916.8
0.010101 0.75758 892.02
0.010101 0.76768 867.61
0.010101 0.77778 843.53
0.010101 0.78788 819.8
0.010101 0.79798 796.42
0.010101 0.80808 773.37
0.010101 0.81818 750.67
0.010101 0.82828 728.31
0.010101 0.83838 706.29
0.010101 0.84848 684.61
0.010101 0.85859 663.26
0.010101 0.86869 642.26
0.010101 0.87879 621.61
0.010101 0.88889 601.31
0.010101 0.89899 581.34
0.010101 0.90909 561.72
0.010101 0.91919 542.44
0.010101 0.92929 523.5
0.010101 0.93939 504.91
0.010101 0.94949 486.65
0.010101 0.9596 468.73
0.010101 0.9697 451.16
0.010101 0.9798 433.93
0.010101 0.9899 417.05
0.010101 1 400.51
0.020202 0 3501.9
0.020202 0.010101 3453.1
0.020202 0.020202 3404.7
0.020202 0.030303 3356.7
0.020202 0.040404 3309
0.020202 0.050505 3261.6
0.020202 0.060606 3214.6
0.020202 0.070707 3167.9
0.020202 0.080808 3121.6
0.020202 0.090909 3075.6
0.020202 0.10101 3029.9
0.020202 0.11111 2984.6
0.020202 0.12121 2939.7
0.020202 0.13131 2895
0.020202 0.14141 2850.8
0.020202 0.15152 2806.8
0.020202 0.16162 2763.2
0.020202 0.17172 2719.9
0.020202 0.18182 2677
0.020202 0.19192 2634.4
0.020202 0.20202 2592.2
0.020202 0.21212 2550.3
0.020202 0.22222 2508.8
0.020202 0.23232 2467.6
0.020202 0.24242 2426.7
0.020202 0.25253 2386.2
0.020202 0.26263 2346
0.020202 0.27273 2306.2
0.020202 0.28283 2266.7
0.020202 0.29293 2227.6
0.020202 0.30303 2188.8
0.020202 0.31313 2150.3
0.020202 0.32323 2112.2
0.020202 0.33333 2074.4
0.020202 0.34343 2037
0.020202 0.35354 1999.8
0.020202 0.36364 1963.1
0.020202 0.37374 1926.7
0.020202 0.38384 1890.6
0.020202 0.39394 1854.9
0.020202 0.40404 1819.5
0.020202 0.41414 1784.5
0.020202 0.42424 1749.8
0.020202 0.43434 1715.4
0.020202 0.44444 1681.4
0.020202 0.45455 1647.7
0.020202 0.46465 1614.4
0.020202 0.47475 1581.4
0.020202 0.48485 1548.8
0.020202 0.49495 1516.5
0.020202 0.50505 1484.5
0.020202 0.51515 1452.9
0.020202 0.52525 1421.6
0.020202 0.53535 1390.7
0.020202 0.54545 1360.1
0.020202 0.55556 1329.9
0.020202 0.56566 1300
0.020202 0.57576 1270.4
0.020202 0.58586 1241.2
0.020202 0.59596 1212.3
0.020202 0.60606 1183.8
0.020202 0.61616 1155.6
0.020202 0.62626 1127.7
0.020202 0.63636 1100.2
0.020202 0.64646 1073.1
0.020202 0.65657 1046.2
0.020202 0.66667 1019.7
0.020202 0.67677 993.6
0.020202 0.68687 967.81
0.020202 0.69697 942.36
0.020202 0.70707 917.25
0.020202 0.71717 892.48
0.020202 0.72727 868.06
0.020202 0.73737 843.97
0.020202 0.74747 820.23
0.020202 0.75758 796.81
0.020202 0.76768 773.76
0.020202 0.77778 751.05
0.020202 0.78788 728.67
0.020202 0.79798 706.65
0.020202 0.80808 684.96
0.020202 0.81818 663.62
0.020202 0.82828 642.62
0.020202 0.83838 621.96
0.020202 0.84848 601.64
0.020202 0.85859 581.64
0.020202 0.86869 562.01
0.020202 0.87879 542.72
0.020202 0.88889 523.78
0.020202 0.89899 505.17
0.020202 0.90909 486.91
0.020202 0.91919 468.99
0.020202 0.92929 451.41
0.020202 0.93939 434.17
0.020202 0.94949 417.28
0.020202 0.9596 400.71
0.020202 0.9697 384.5
0.020202 0.9798 368.64
0.020202 0.9899 353.11
0.020202 1 337.93
0.030303 0 3314
0.030303 0.010101 3266.6
0.030303 0.020202 3219.5
0.030303 0.030303 3172.8
0.030303 0.040404 3126.4
0.030303 0.050505 3080.4
0.030303 0.060606 3034.7
0.030303 0.070707 2989.4
0.030303 0.080808 2944.4
0.030303 0.090909 2899.7
0.030303 0.10101 2855.4
0.030303 0.11111 2811.4
0.030303 0.12121 2767.8
0.030303 0.13131 2724.5
0.030303 0.14141 2681.5
0.030303 0.15152 2638.9
0.030303 0.16162 2596.6
0.030303 0.17172 2554.7
0.030303 0.18182 2513.1
0.030303 0.19192 2471.9
0.030303 0.20202 2431
0.030303 0.21212 2390.4
0.030303 0.22222 2350.2
0.030303 0.23232 2310.4
0.030303 0.24242 2270.8
0.030303 0.25253 2231.6
0.030303 0.26263 2192.8
0.030303 0.27273 2154.3
0.030303 0.28283 2116.1
0.030303 0.29293 2078.3
0.030303 0.30303 2040.8
0.030303 0.31313 2003.7
0.030303 0.32323 1966.9
0.030303 0.33333 1930.5
0.030303 0.34343 1894.4
0.030303 0.35354 1858.6
0.030303 0.36364 1823.2
0.030303 0.37374 1788.1
0.030303 0.38384 1753.4
0.030303 0.39394 1719
0.030303 0.40404 1684.9
0.030303 0.41414 1651.2
0.030303 0.42424 1617.9
0.030303 0.43434 1584.8
0.030303 0.44444 1552.2
0.030303 0.45455 1519.8
0.030303 0.46465 1487.8
0.030303 0.47475 1456.1
0.030303 0.48485 1424.8
0.030303 0.49495 1393.9
0.030303 0.50505 1363.2
0.030303 0.51515 1333
0.030303 0.52525 1303
0.030303 0.53535 1273.4
0.030303 0.54545 1244.2
0.030303 0.55556 1215.2
0.030303 0.56566 1186.7
0.030303 0.57576 1158.4
0.030303 0.58586 1130.5
0.030303 0.59596 1103
0.030303 0.60606 1075.8
0.030303 0.61616 1048.9
0.030303 0.62626 1022.4
0.030303 0.63636 996.26
0.030303 0.64646 970.42
0.030303 0.65657 944.91
0.030303 0.66667 919.76
0.030303 0.67677 894.96
0.030303 0.68687 870.49
0.030303 0.69697 846.37
0.030303 0.70707 822.6
0.030303 0.71717 799.16
0.030303 0.72727 776.07
0.030303 0.73737 753.32
0.030303 0.74747 730.91
0.030303 0.75758 708.82
0.030303 0.76768 687.1
0.030303 0.77778 665.71
0.030303 0.78788 644.67
0.030303 0.79798 623.98
0.030303 0.80808 603.62
0.030303 0.81818 583.61
0.030303 0.82828 563.94
0.030303 0.83838 544.61
0.030303 0.84848 525.63
0.030303 0.85859 506.97
0.030303 0.86869 488.67
0.030303 0.87879 470.71
0.030303 0.88889 453.09
0.030303 0.89899 435.82
0.030303 0.90909 418.89
0.030303 0.91919 402.3
0.030303 0.92929 386.05
0.030303 0.93939 370.15
0.030303 0.94949 354.58
0.030303 0.9596 339.35
0.030303 0.9697 324.47
