x0 x1 y0  
0.93119 0.69573 537.72
0.21526 0.3867 337.5
0.65009 0.67117 10.593
0.6953 0.89805 98.142
0.32419 0.57924 6.7224
0.80677 0.86457 0.79798
0.97586 0.096828 2971.7
0.58929 0.73222 67.219
0.16575 0.43555 462.89
0.48235 0.3216 55.315
0.74558 0.7617 0.36119
0.02175 0.04002 3282.2
0.83169 0.99235 3.0484
0.62735 0.23625 183.13
0.57858 0.49154 2.3717
0.14479 0.79434 89.057
0.64355 0.18464 268.29
0.20566 0.32664 472.96
0.7243 0.78133 9.5092
0.10873 0.7465 249.76
0.83836 0.6452 176
0.55982 0.07348 327.12
0.0034434 0.28344 2533
0.96574 0.38822 1679.4
0.89084 0.082512 1826.1
0.43753 0.98288 367.3
0.34702 0.92237 181.51
0.11999 0.52406 546.73
0.95581 0.53334 1122.4
0.57005 0.45943 6.685
0.086924 0.36082 1185.7
0.37638 0.68424 27.095
0.044896 0.95612 266.33
0.70837 0.46906 73.153
0.37171 0.30843 114.86
0.79773 0.12559 912.58
0.26446 0.57323 43.657
0.98946 0.1567 2944.5
0.49038 0.13857 220.71
0.78325 0.61897 73.763
0.67865 0.71345 11.554
0.41445 0.62986 18.563
0.53142 0.41895 12.908
0.76513 0.29755 403.44
0.17903 0.61119 167.41
0.13436 0.25974 1047.6
0.073578 0.7004 504.76
0.50945 0.47571 1.9439
0.088417 0.24663 1512.6
0.40107 0.82446 137.65
0.46266 0.0063463 419.69
0.027032 0.59049 1152.7
0.92285 0.34735 1314.6
0.056311 0.0151 2805.2
0.60955 0.50882 3.0328
0.19108 0.40007 409.29
0.35047 0.541 6.8921
0.81511 0.80599 17.106
0.29981 0.36266 155.81
0.73126 0.19653 458.06
0.3949 0.9706 305.59
0.61755 0.92818 231.92
0.43188 0.56249 4.8077
0.66367 0.88627 128.42
0.75943 0.8443 7.9067
0.86422 0.058831 1626.4
0.90574 0.9389 93.407
0.45775 0.26411 100.61
0.15339 0.027571 1566.6
0.28202 0.83543 36.844
0.31217 0.65015 3.184
0.23864 0.90039 28.691
0.25461 0.10659 691.36
0.94779 0.86009 357.57
0.8822 0.44458 717.38
0.22738 0.11658 798.27
0.51696 0.2136 139.61
0.32506 0.1636 360.65
0.54269 0.76794 114.51
0.85595 0.20644 1107.8
