x0 x1 y0
0 0 0
0 1 0
1 0 127.32
1 1 137.59
0.7205 0.35965 63.739
0.8722 0.32048 94.769
0.2575 0.32664 12.141
0.34815 0.60683 22.037
0.37991 0.47661 27.975
0.63554 0.1393 58.636
0.52709 0.15814 47.605
0.17163 0.50434 6.4435
0.19183 0.33335 6.8829
0.35834 0.57457 24.035
0.97284 0.29828 126.64
0.5611 0.39512 45.529
0.68309 0.34972 64.617
0.74719 0.22011 70.393
0.2923 0.25648 13.804
0.57125 0.30386 49.766
0.32972 0.39416 20.504
0.58471 0.23234 54.875
0.1088 0.95495 3.2457
0.60352 0.12743 58.052
0.34837 0.159 17.989
0.84635 0.37597 87.526
0.90715 0.40787 110.64
0.62632 0.64491 53.059
0.13978 0.23581 3.9353
0.30146 0.78228 11.19
0.89308 0.24916 98.122
0.57201 0.78805 54.335
0.24712 0.36907 11.715
0.69768 0.64788 58.921
0.97718 0.73879 114.86
0.97281 0.97147 129.95
0.1507 0.61395 5.6003
0.17587 0.33979 6.7813
0.4058 0.99179 30.507
0.51531 0.29204 44.335
0.25018 0.37083 11.457
0.88824 0.040891 104.11
0.5306 0.25694 45.647
0.026772 0.76667 0.66464
0.55697 0.60374 51.853
0.8644 0.76093 91.191
0.94505 0.86348 100.82
0.72273 0.91275 72.332
0.82141 0.28598 85.793
0.94882 0.57133 109.71
0.97235 0.22491 112.67
0.72649 0.60548 63.508
0.92397 0.065058 103.6
0.13518 0.96587 4.3789
0.6594 0.25171 63.445
0.26846 0.54861 15.618
0.26754 0.76513 12.281
0.18393 0.090436 7.2507
0.014679 0.079893 0.22984
0.39296 0.81715 27.447
0.62734 0.79951 56.271
0.83542 0.80035 82.207
0.13071 0.21721 4.6589
0.3576 0.64856 22.043
0.35632 0.47911 23.909
0.38872 0.76454 23.164
0.075644 0.44603 0.9819
0.30091 0.45919 17.839
0.11056 0.75305 2.6272
0.033042 0.67599 0.65891
0.55575 0.90048 49.188
0.65465 0.76083 61.224
0.91381 0.70955 104.43
0.86698 0.25405 94.013
0.17104 0.89796 6.6571
0.23662 0.68254 11.122
0.10024 0.24811 3.0482
0.98069 0.61405 123.05
0.69749 0.73756 67.353
0.25136 0.89581 10.077
0.119 0.77268 3.6502
0.043696 0.7621 1.2258
0.16022 0.50463 6.1456
0.54998 0.62046 47.071
0.6405 0.047963 58.585
0.12391 0.038087 3.5869
0.18342 0.46382 7.4254
0.22822 0.23858 9.2224
0.72089 0.93402 72.442
0.47257 0.9611 36.45
0.38127 0.36901 25.304
0.88409 0.9844 95.334
0.63518 0.18714 54.577
0.93992 0.86902 99.595
0.55045 0.97291 45.747
0.39057 0.12098 25.988
0.40338 0.39295 31.434
0.095894 0.69891 2.1412
0.67154 0.91958 66.283
0.020815 0.30764 0.32865
0.57139 0.90209 52.078
0.2885 0.35816 15.665
0.24934 0.51883 13.936
0.30587 0.60582 16.673
0.70939 0.11225 67.056
0.048473 0.66661 0.94655
0.86042 0.24219 91.841
0.55453 0.27069 49.904
0.56089 0.36182 45.987
0.71432 0.81259 72.56
0.65102 0.28985 59.13
0.66417 0.7372 65.726
0.67466 0.40719 59.447
0.56544 0.67175 53.172
0.24764 0.61961 13.274
0.76253 0.12164 76.025
0.5131 0.10776 43.922
0.53101 0.51006 45.691
0.24423 0.002052 12.526
0.53948 0.36756 44.195
0.26996 0.64548 13.194
0.12268 0.47147 3.6637
0.9303 0.46747 118.94
0.044057 0.53754 0.70654
0.051202 0.46614 0.88822
0.74656 0.20986 75.812
0.13514 0.7945 3.7385
0.47274 0.58568 37.483
0.5301 0.83174 43.166
0.6039 0.86628 56.226
0.50711 0.027392 39.836
0.94461 0.57831 113.16
0.55791 0.51415 46.118
0.74942 0.9913 73.446
0.1735 0.93576 5.2546
0.042972 0.044546 0.73869
0.78337 0.15659 79.473
0.87147 0.41641 99.106
0.53904 0.33361 44.649
0.31616 0.65054 14.123
0.24746 0.12621 11.504
0.63903 0.30267 54.919
0.36239 0.65294 20.991
0.963 0.74101 113.24
0.93779 0.43945 114.25
0.72209 0.89485 66.849
0.30927 0.98609 17.173
0.71824 0.2967 72.496
0.65511 0.33496 57.226
0.36904 0.54669 26.27
0.1048 0.54514 2.2389
0.26779 0.43684 15.329
0.079142 0.69432 1.8573
0.34765 0.82191 18.625
0.89136 0.88885 93.276
0.76941 0.22805 73.003
0.45352 0.71303 34.433
0.60803 0.97141 47.492
0.50203 0.86249 40.935
0.2626 0.64257 13.935
0.12567 0.59304 3.6825
0.78146 0.041827 77.466
0.091595 0.81175 2.6193
0.74951 0.45181 72.102
0.64496 0.76777 58.526
0.068151 0.48209 1.0348
0.11935 0.97981 3.7541
0.054769 0.49093 0.96674
0.63647 0.3558 52.066
0.65283 0.17398 59.55
0.60525 0.99411 51.378
0.48133 0.3742 39.043
0.068756 0.16055 2.0044
0.67699 0.92919 66.646
0.49196 0.88102 42.579
0.55774 0.67764 52.397
0.8973 0.72543 100.78
0.15708 0.72766 5.4021
0.92651 0.68801 107.62
0.98913 0.30545 130.92
0.82777 0.81813 86.313
0.75002 0.61123 72.699
0.88547 0.20128 97.486
0.63511 0.80223 60.162
0.57731 0.81065 55.166
0.058731 0.26331 1.7296
0.15833 0.60824 6.0538
0.25022 0.30648 9.8546
0.87473 0.76306 86.789
0.63009 0.9444 47.807
0.71145 0.72135 67.94
0.2138 0.42053 9.069
0.2843 0.11286 11.5
0.57336 0.67869 50.96
0.33461 0.85204 17.321
0.62685 0.18628 51.737
0.92546 0.42716 113.83
0.85727 0.95707 92.008
0.54811 0.59089 50.785
0.30065 0.094168 13.741
0.66549 0.94797 63.538
0.51214 0.69682 40.288
0.92394 0.98339 109.94
0.22985 0.73342 10.146
0.79389 0.16628 78.496
0.41323 0.57639 29.938
0.13737 0.34972 4.6593
0.89666 0.67325 102.4
0.90626 0.95487 103.43
0.14583 0.49367 4.3051
0.88643 0.77581 97.386
0.85846 0.89026 91.352
0.70348 0.70795 62.8
0.43665 0.29291 34.933
0.74887 0.25948 74.803
0.22228 0.84546 9.6095
0.96553 0.52827 128.71
0.9125 0.73076 103.44
0.041255 0.69462 0.94016
0.19914 0.52153 7.8226
0.89381 0.94148 99.809
0.77501 0.58785 77.759
0.87219 0.11907 88.39
0.41891 0.98817 31.888
0.2377 0.65756 10.668
0.25881 0.39553 13.421
0.67227 0.81228 67.239
0.21825 0.59204 9.1269
0.6537 0.65628 60.239
0.88135 0.26396 92.411
0.069006 0.39784 1.2591
0.48612 0.40395 38.391
0.78234 0.61519 76.564
0.91417 0.71339 103.76
0.37038 0.55259 25.128
0.085392 0.4452 1.633
0.26428 0.12449 12.701
0.024749 0.017787 0.35036
0.89339 0.89574 92.597
0.3386 0.61274 20.253
0.81625 0.68748 79.101
0.84906 0.67448 86.506
0.54158 0.6922 49.591
0.56166 0.66142 50.435
0.84536 0.69822 88.515
0.94042 0.70699 103.19
0.27409 0.93017 13.211
0.44835 0.060715 31.247
0.23723 0.15027 9.1115
0.039958 0.2209 0.99552
0.29651 0.59993 16.89
0.54554 0.864 49.913
0.30807 0.79416 12.245
0.91477 0.21508 96.092
0.82698 0.24624 79.594
0.64366 0.93273 57.275
0.40747 0.17708 29.991
0.38074 0.82339 24.557
0.99958 0.54896 136.4
0.26676 0.94753 12.805
0.86015 0.45899 96.081
0.24077 0.67864 11.502
0.26029 0.28458 10.886
0.034041 0.50761 0.41935
0.49663 0.71207 42.952
