x0 x1 y1
0.62111 0.27485 95.497
0.53125 0.31935 74.046
0.95525 0.89994 770.71
0.83329 0.59091 379.06
0.32289 0.17591 18.257
0.024063 0.76994 0.78531
0.15982 0.92059 13.138
0.036336 0.51936 1.345
0.47391 0.24808 51.181
0.97749 0.072976 67.349
0.88398 0.68412 506.13
0.81517 0.92187 552.81
0.10576 0.22974 2.1354
0.82618 0.54121 358.91
0.039147 0.05596 0.14445
0.34634 0.020774 1.9221
0.015623 0.7178 0.49066
0.087731 0.32281 0.68828
0.86917 0.033536 23.379
0.58234 0.0842 27.308
0.29035 0.27685 18.255
0.066295 0.26622 0.50909
0.39377 0.41656 62.277
0.60881 0.21316 77.019
0.7254 0.96948 458.59
0.52977 0.51428 141.86
0.0348 0.058254 0.13535
0.6478 0.028471 10.621
0.50486 0.94137 192.95
0.80547 0.94412 537.74
0.55937 0.022792 6.1446
0.91386 0.36041 282.76
0.46083 0.9101 164.69
0.79096 0.051557 30.188
0.55596 0.95722 250.46
0.88685 0.50789 396.46
0.56067 0.3657 104.56
0.27573 0.24789 16.244
0.69904 0.35424 158
0.89477 0.048723 36.689
0.30333 0.048453 3.6803
0.73609 0.052183 26.348
0.82575 0.7264 485.16
0.27141 0.060567 3.7719
0.85962 0.47213 348.87
0.47844 0.6561 127.42
0.44516 0.51197 99.618
0.2346 0.012758 0.44741
0.55455 0.92546 241.97
0.78731 0.67679 391.06
0.73483 0.93682 440.92
0.37214 0.077264 9.8338
0.34848 0.70086 76.94
0.17661 0.60464 11.279
0.35162 0.91844 89.144
0.35646 0.58427 62.526
0.13329 0.15955 2.947
0.32947 0.677 61.801
0.44103 0.26566 45.422
0.30611 0.14797 13.867
0.83543 0.13485 93.843
0.94724 0.14326 128.41
0.6069 0.16475 60.653
0.49305 0.38728 87.809
0.20311 0.67651 20.97
0.36774 0.44432 59.607
0.72369 0.86937 434.4
0.45162 0.48082 98.005
0.12014 0.19577 2.7743
0.21271 0.64981 18.881
0.77635 0.3483 191.94
0.41942 0.62273 84.902
0.64886 0.14552 61.205
0.44767 0.7557 149.98
0.50981 0.77515 201.26
0.67981 0.75332 345.53
0.78594 0.53035 320.53
0.63718 0.42354 168.94
0.067116 0.17885 1.0759
0.60058 0.88134 295.34
0.042949 0.44872 1.731
0.66584 0.63009 238.13
0.35625 0.19829 24.583
0.60204 0.41407 146.12
0.027029 0.25362 0.18892
0.27179 0.60844 31.701
0.76838 0.66626 361.13
0.48077 0.085613 18.782
0.95857 0.98391 847.73
0.73721 0.59067 293.48
0.69898 0.93683 395.92
0.015526 0.11508 0.17195
0.78854 0.80439 499.02
0.032234 0.77386 2.0823
0.044669 0.40157 0.93191
0.42745 0.44313 80.273
0.36036 0.074609 8.828
0.23142 0.44718 23.845
0.2069 0.47381 20.585
0.97858 0.72771 685.35
0.25907 0.73871 47.598
0.79431 0.3711 220.56
0.082548 0.80773 6.0604
0.95075 0.34494 288.94
0.56548 0.65766 183.87
0.8543 0.021939 14.545
0.37968 0.997 125.76
0.76508 0.36855 202.13
0.78271 0.85881 508.82
0.9772 0.75541 718.06
0.15352 0.46575 11.067
0.82331 0.85358 562.88
0.60136 0.694 234.72
0.054822 0.82755 3.5798
0.56709 0.55759 168.24
0.82695 0.7771 531.2
0.78946 0.56403 333.7
0.067964 0.14307 0.95745
0.69982 0.21089 101.2
0.2385 0.63016 21.332
0.75108 0.28743 146.26
0.51306 0.15629 41.141
0.58292 0.22404 73.307
0.83026 0.74669 510.13
0.72217 0.013088 6.0042
0.023561 0.36422 0.1243
0.2123 0.4319 19.006
0.647 0.40434 163.62
0.21789 0.0052228 0.14323
0.87435 0.099425 74.603
0.61719 0.78153 297.67
0.37562 0.20897 28.457
0.88863 0.58122 430.76
0.84473 0.72505 506.56
0.38348 0.43676 63.333
0.86423 0.11431 84.488
0.52524 0.63975 146.72
0.32868 0.15221 16.451
0.10803 0.063312 0.69906
0.26164 0.0013611 0.058429
0.69257 0.34726 150.33
0.52281 0.77264 210.86
0.56607 0.74958 237.5
0.4904 0.97722 203.41
0.78588 0.97435 549.18
0.054722 0.34254 -0.051408
0.14567 0.69073 10.905
0.11525 0.13323 1.8892
0.40632 0.085234 13.216
0.088957 0.62797 0.96687
0.90007 0.34534 258.22
0.2765 0.88516 56.526
0.3906 0.011121 1.3108
0.59874 0.12148 43.094
0.72796 0.24474 123.28
0.31777 0.44927 45.079
0.37379 0.56971 70.228
0.97395 0.45075 426.65
0.12752 0.47379 7.8404
0.1013 0.67043 4.2776
