x0 x1 y1
0.54763 0.23168 1.7609
0.098556 0.86405 8.1773
0.96295 0.015115 -1.1028
0.8328 0.023927 0.010393
0.70024 0.41872 3.9256
0.98903 0.41044 4.2255
0.96089 0.17168 0.24871
0.69979 0.44939 2.9481
0.53754 0.68959 5.6128
0.44445 0.96004 9.3097
0.65151 0.74094 7.7049
0.2993 0.71354 6.9024
0.86814 0.21234 0.83067
0.42676 0.50666 3.2331
0.64822 0.19952 1.3005
0.69151 0.64159 6.3176
0.2404 0.38437 4.3232
0.19659 0.48367 3.2549
0.13259 0.94723 11.121
0.9573 0.20798 0.22275
0.018888 0.65231 6.6046
0.53649 0.3286 1.6008
0.86281 0.053574 1.0424
0.2123 0.2242 1.1933
0.10869 0.75938 6.7685
0.47201 0.17497 -0.00050466
0.41577 0.21846 -0.22914
0.48158 0.026675 -1.4066
0.25717 0.5526 6.5776
0.29428 0.16289 -0.77427
0.99093 0.24957 0.52963
0.21931 0.96877 10.751
0.8256 0.67632 6.895
0.88817 0.25958 1.4546
0.15245 0.85548 9.274
0.088081 0.096925 0.56763
0.59995 0.14788 1.8178
0.17745 0.52201 4.2059
0.73888 0.88151 8.4751
0.80276 0.70408 7.6976
0.16058 0.31463 4.2224
0.41503 0.78673 5.3026
0.48472 0.91085 8.5455
0.66273 0.44357 3.4432
0.36088 0.70907 4.7767
0.36608 0.477 4.7138
0.33438 0.82571 7.1672
0.55558 0.34865 2.7531
0.18564 0.1264 -0.052777
0.26269 0.10608 -0.34965
0.45582 0.87116 6.6236
0.18887 0.45809 4.175
0.36521 0.66909 6.3346
0.017376 0.95553 9.8222
0.65731 0.62043 7.094
0.25427 0.58424 6.3167
0.72074 0.4513 2.843
0.92016 0.86238 7.1643
0.49301 0.31777 1.4937
0.29152 0.30179 3.8434
0.38361 0.29305 2.6269
0.84015 0.77345 7.2592
0.346 0.034451 -1.3346
0.18119 0.51066 4.2788
0.97153 0.34332 3.4392
0.44733 0.43716 3.5293
0.94457 0.48125 5.1858
0.96769 0.37616 3.1922
0.39246 0.42254 4.1373
0.070306 0.080262 0.5926
0.65457 0.35143 3.5169
0.58776 0.2549 2.8468
0.35118 0.32795 2.6921
0.77952 0.87693 9.601
0.74644 0.95304 9.5893
0.59678 0.61491 4.823
0.14555 0.98505 10.062
0.46235 0.56044 4.84
0.21756 0.52797 4.5232
0.28087 0.58663 6.0514
0.21345 0.99017 10.846
0.040814 0.75095 8.2536
0.22394 0.90236 9.8894
0.79549 0.1423 0.88337
0.70627 0.33599 4.4208
0.89542 0.9576 9.4675
0.060163 0.29385 2.8491
0.86952 0.49396 4.2698
0.57451 0.94351 8.0429
