x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 y1 y2 y3 y4  
0.94 0.904 0.4 0.236 0.578 0.95 0.256 0.206 0.672 0.298 0.762 0.288 0.212 0.114 0.67 2.5889 -0.35068 0.021328 0.02352
0 0.72 0.454 0.28 0.128 0.088 0.842 0.022 0.426 0.158 0.704 0.584 0.194 0.664 0.55 0.68346 -0.64016 0.021246 0.024344
0.762 0.218 0.878 0.312 0.676 0.028 0.27 0.21 0.526 0.856 0.512 0.228 0.826 0.966 0.236 1.0907 -0.44025 0.023137 0.055748
0.606 0.716 0.056 0.982 0.728 0.126 0.238 0.44 0.288 0.488 0.938 0.84 0.644 0.796 0.354 0.75194 -0.59419 0.020359 0.024582
0.388 0.446 0.396 0.368 0.926 0.512 0.97 0.046 0.28 0.99 0.16 0.674 0.668 0.152 0.638 2.6236 -0.43502 0.021725 0.023313
0.334 0.112 0.9 0.562 0.62 0.052 0.276 0.568 0.58 0.102 0.14 0.23 0.382 0.432 0.02 1.9116 -0.29668 0.02203 0.025226
0.09 0.288 0.738 0.286 0.652 0.284 0.05 0.588 0.372 0.306 0.13 0.37 0.772 0.904 0.932 3.1752 -0.56729 0.021168 0.024299
0.21 0.676 0.184 0.21 0.724 0.892 0.866 0.766 0.582 0.756 0.018 0.724 0.462 0.486 0.15 2.0393 -0.32725 0.021435 0.023243
0.696 0.992 0.052 0.136 0.626 0.396 0.036 0.586 0.63 0.52 0.172 0.552 0.744 0.852 0.17 0.25026 -0.46769 0.020792 0.024182
0.318 0.638 0.676 0.884 0.088 0.182 0.198 0.82 0.938 0.538 0.834 0.506 0.582 0.05 0.204 1.7308 -0.23739 0.022798 0.040248
0.616 0.934 0.422 0.61 0.288 0.524 0.814 0.264 0.998 0.676 0.676 0.918 0.09 0.208 0.704 1.0792 -0.58921 0.020431 0.02294
0.878 0.12 0.594 0.58 0.622 0.346 0.536 0.1 0.642 0.972 0.448 0.06 0.712 0.294 0.996 2.5789 -0.40525 0.020965 0.026504
0.128 0.226 0.04 0.63 0.148 0.596 0.824 0.674 0.77 0.504 0.63 0.2 0.492 0.974 0.974 2.9879 -0.54763 0.022035 0.036885
0.99 0.396 0.322 0.146 0.338 0.674 0.136 0.108 0.776 0.426 0.152 0.282 0.454 0.944 0.752 2.5647 -0.53776 0.021337 0.024021
0.116 0.8 0.482 0.73 0.394 0.626 0.262 0.328 0.284 0.952 0.216 0.848 0.038 0.834 0.852 2.6029 -0.58413 0.021204 0.026672
0.154 0.334 0.798 0.868 0.616 0.772 0.43 0.83 0.384 0.224 0.922 0.796 0.57 0.132 0.132 1.2767 -0.10709 0.022059 0.035707
0.438 0.996 0.916 0.276 0.968 0.188 0.326 0.884 0.618 0.4 0.43 0.104 0.438 0.436 0.856 3.7427 -0.55758 0.021573 0.029555
0.112 0.184 0.52 0.29 0.872 0.016 0.6 0.594 0.21 0.924 0.198 0.182 0.786 0.504 0.158 1.9763 -0.51192 0.021104 0.024066
0.514 0.424 0.87 0.326 0.34 0.02 0.68 0.318 0.456 0.736 0.088 0.936 0.926 0.276 0.794 1.804 -0.56445 0.021296 0.032138
0.148 0.652 0.868 0.216 0.678 0.358 0.004 0.072 0.312 0.876 0.048 0.748 0.442 0.31 0.526 0.62547 -0.38794 0.020907 0.024818
0.858 0.21 0.266 0.496 0.68 0.362 0.174 0.308 0.924 0.684 0.11 0.278 0.984 0.306 0.106 2.2974 -0.43449 0.020855 0.022939
0.536 0.642 0.452 0.55 0.16 0.998 0.998 0.52 0.12 0.568 0.514 0.924 0.574 0.158 0.166 0.53595 -0.1819 0.021881 0.035504
0.776 0.854 0.512 0.88 0.74 0.458 0.788 0.02 0.7 0.694 0.61 0.788 0.56 0.92 0.906 1.4742 -0.68954 0.020533 0.02329
0.936 0.018 0.288 0.438 0.826 0.45 0.818 0.208 0.848 0.364 0.252 0.766 0.596 0.922 0.362 0.87537 -0.5589 0.021506 0.024139
0.172 0.498 0.734 0.664 0.806 0.506 0.456 0.552 0.968 0.984 0.274 0.86 0.482 0.082 0.862 0.67338 -0.4958 0.02172 0.03254
0.076 0.574 0.556 0.826 0.444 0.036 0.996 0.362 0.932 0.446 0.44 0.706 0.478 0.548 0.992 1.2768 -0.70567 0.020402 0.024109
0.756 0.804 0.478 0.3 0.002 0.96 0.234 0.268 0.268 0.198 0.616 0.386 0.95 0.482 0.25 0.80437 -0.22996 0.021668 0.027328
0.406 0.056 0.404 0.018 0.336 0.978 0.58 0.01 0.09 0.576 0.478 0.252 0.446 0.606 0.35 0.31551 -0.30443 0.021585 0.029414
0.506 0.612 0.532 0.204 0.696 0.326 0.12 0.086 0.842 0.786 0.794 0.954 0.226 0.692 0.11 0.60913 -0.3113 0.020752 0.02422
0.414 0.65 0.35 0.18 0.042 0.042 0.1 0.816 0.208 0.656 0.382 0.53 0.716 0.078 0.244 0.79638 -0.2807 0.021914 0.035874
0.404 0.306 0.836 0.04 0.726 0.776 0.968 0.524 0.346 0.072 0.884 0.142 0.45 0.402 0.722 2.0084 -0.38202 0.02134 0.02678
0.428 0.348 0.076 0.856 0.084 0.852 0.534 0.146 0.508 0.81 0.02 0.324 0.294 0.748 0.346 0.36824 -0.42831 0.021088 0.025993
0.246 0.23 0.566 0.054 0.388 0.16 0.056 0.062 0.844 0.22 0.716 0.446 0.79 0.3 0.416 0.91949 -0.36929 0.021656 0.026138
0.284 0.828 0.642 0.132 0.67 0.286 0.384 0.074 0.098 0.678 0.89 0.686 0.148 0.414 0.9 2.1178 -0.57959 0.021724 0.032435
0.48 0.872 0.38 0.622 0.82 0.922 0.748 0.914 0.022 0.376 0.726 0.496 0.026 0.228 0.332 3.4535 -0.33199 0.021884 0.02421
0.828 0.142 0.618 0.598 0.736 0.676 0.682 0.094 0.194 0.62 0.744 0.68 0.036 0.862 0.102 2.0112 -0.33164 0.021727 0.036129
0.014 0.266 0.81 0.384 0.988 0.842 0.376 0.192 0.782 0.82 0.654 0.312 0.564 0.648 0.842 2.5734 -0.36231 0.022433 0.041369
0.894 0.394 0.182 0.164 0.546 0.664 0.222 0.122 0.446 0.868 0.936 0.308 0.832 0.49 0.046 1.4742 -0.22029 0.02251 0.041369
0.632 0.788 0.682 0.486 0.22 0.266 0.684 0.182 0.188 0.632 0.312 0.062 0.186 0.982 0.034 2.5473 -0.45121 0.020965 0.022991
0.652 0.98 0.13 0.292 0.408 0.11 0.904 0.462 0.118 0.288 0.888 0.754 0.622 0.404 0.71 0.44914 -0.67827 0.02072 0.021456
0.692 0.598 0.212 0.08 0.658 0.84 0.608 0.076 0.442 0.096 0.5 0.972 0.572 0.65 0.886 1.6963 -0.57321 0.021326 0.026005
0.098 0.284 0.2 0.314 0.286 0.986 0.762 0.616 0.216 0.562 0.162 0.518 0.074 0.16 0.774 1.4357 -0.47677 0.021025 0.024865
0.56 0.51 0.132 0.748 0.344 0.87 0.916 0.562 0.94 0.028 0.246 0.838 0.264 0.688 0.718 1.1703 -0.54323 0.021084 0.023667
0.37 0.136 0.57 0.892 0.122 0.048 0.53 0.408 0.13 0.458 0.17 0.226 0.626 0.026 0.522 1.8087 -0.40938 0.021603 0.023708
0.472 0.83 0.728 0.024 0.94 0.732 0.522 1 0.326 0.274 0.452 0.244 0.694 0.406 0.058 3.3119 -0.32177 0.021399 0.02502
