x1 x2 x3 y1 y2 y3 y4  
35.472 116.34 14.72 28.9 9.1316e+005 0.97 1088.1
8.0758 144.14 5.348 21.8 8.6058e+005 0.98 1224.9
9.2439 188.79 15.506 28.3 9.3401e+005 0.98 1759.5
37.935 125.44 17.731 32.3 9.3086e+005 0.97 1205.5
4.6402 195.63 42.252 4.1 9.8505e+005 1 2086.3
48.443 105.01 44.14 6.2 9.8232e+005 1 1254.2
7.6657 126.1 43.078 4.3 9.8484e+005 1 1488.4
15.218 166.53 37.119 5.5 9.8253e+005 1 1777.1
17.367 132.71 1.8078 23.9 8.0823e+005 0.98 1050.1
57.254 122.84 36.211 14.8 9.7486e+005 0.99 1211.6
12.899 172.08 41.723 4.5 9.844e+005 1 1870
32.651 182.4 41.184 5.3 9.8327e+005 1 1921.8
4.7906 162.83 42.183 4.3 9.8486e+005 1 1800.8
53.83 124.6 45.854 6 9.8265e+005 1 1388.8
22.306 151.6 18.373 29.6 9.4301e+005 0.98 1464.1
15.771 110.55 8.7771 24.3 8.8118e+005 0.98 990.9
6.9005 125.36 0.33672 29.6 7.2127e+005 0.97 936.5
38.409 129.48 21.501 29.5 9.4979e+005 0.98 1277.4
20.028 176.91 32.155 7.2 9.7969e+005 1 1816.1
36.657 106.53 40.35 6.2 9.8183e+005 1 1268.1
40.055 133.43 28.129 20.1 9.7191e+005 0.99 1376.1
48.361 144.43 34.098 10.3 9.7717e+005 0.99 1467.1
44.395 175.48 19.685 28.3 9.418e+005 0.98 1613.2
56.115 108.73 36.481 12.1 9.7618e+005 0.99 1145.2
0.37836 144.85 46.218 3.8 9.8604e+005 1 1684.8
2.0362 112.54 24.518 25.1 9.6848e+005 0.98 1197.7
27.501 141.74 47.77 4.2 9.8531e+005 1 1649.7
37.036 140.91 24.627 25.8 9.6301e+005 0.98 1405.7
48.935 114.89 33.111 12.8 9.7556e+005 0.99 1223.5
8.8908 182.21 45.912 3.8 9.8588e+005 1 1999.8
57.648 185.12 22.069 30.7 9.2361e+005 0.98 1357.8
19.005 182.6 16.264 28.5 9.3537e+005 0.98 1714.1
37.327 173.06 26.935 21 9.711e+005 0.99 1701
0.24981 161.38 48.351 3.5 9.8668e+005 1 1849
13.206 159.57 46.178 4 9.8562e+005 1 1804.6
10.49 166.3 37.964 5.1 9.8322e+005 1 1784.8
41.137 109.61 13.444 28.6 9.0247e+005 0.97 1006
42.921 161.04 27.863 20.5 9.7142e+005 0.99 1592
31.773 195.64 38.742 5.6 9.8242e+005 1 2009.6
52.52 106.36 12.422 27 8.8285e+005 0.97 853.2
48.47 154.22 24.618 27.4 9.5596e+005 0.98 1433.6
6.9295 112.01 45.491 4.1 9.854e+005 1 1389.6
51.876 110.62 32.711 15.8 9.7406e+005 0.99 1171.6
48.463 112.37 33.053 12.3 9.7571e+005 0.99 1204.7
43.303 130.17 16.863 30.9 9.2394e+005 0.97 1216.4
49.625 121.04 27.896 26.5 9.6476e+005 0.98 1213.4
15.354 137.58 33.488 6.7 9.8049e+005 1 1492.8
11.213 122.13 42.008 4.6 9.8429e+005 1 1441.9
47.211 163.68 24.33 26.8 9.5664e+005 0.98 1519.6
38.239 151.68 40.42 5.7 9.8244e+005 1 1647.7
39.784 152.97 3.0771 21.8 8.2962e+005 0.98 1177.1
19.456 100 22.588 30 9.573e+005 0.97 1061.8
0.12714 190.18 27.021 11.3 9.7694e+005 0.99 1898.9
45.272 166.6 31.21 11.3 9.7599e+005 0.99 1652.1
55.193 103.72 31.279 26.8 9.6805e+005 0.97 1071.4
37.759 148.36 16.819 30.2 9.2868e+005 0.98 1386.9
23.1 184.85 42.391 4.7 9.8417e+005 1 1976.4
18.817 175.28 30.289 8.5 9.7833e+005 1 1785.5
52.707 113.62 32.789 16.4 9.7383e+005 0.99 1188.6
30.738 166.09 44.429 4.7 9.8434e+005 1 1818.3
39.802 188.13 34.718 7.2 9.798e+005 1 1894.6
20.532 104.66 4.439 25.6 8.3948e+005 0.97 878.1
26.572 124.26 48.257 4.2 9.853e+005 1 1506.2
8.5424 170 9.2922 21.3 8.9481e+005 0.99 1505.2
29.069 122.65 49.144 4.2 9.8538e+005 1 1497.6
52.596 152.84 39.681 7.2 9.8047e+005 1 1559.2
33.26 131.98 35.664 6.9 9.8029e+005 1 1442.8
21.855 184.37 12.374 24.9 9.1209e+005 0.98 1668.5
50.991 161.66 40.481 6.5 9.8129e+005 1 1651.6
5.4733 156.44 49.234 3.6 9.867e+005 1 1811.8
56.493 110.07 2.4264 93.1 6.7813e+005 0.71 376.1
18.679 165.67 24.08 23.5 9.6757e+005 0.99 1644.2
38.993 132.53 35.918 7.2 9.7998e+005 1 1442.2
33.148 117.03 33.439 8.5 9.7852e+005 0.99 1295.2
6.3611 198.91 30.991 7 9.8009e+005 1 2005.1
0.050979 136.33 34.858 5.7 9.8221e+005 1 1502.9
22.422 129.37 29.235 11.5 9.7632e+005 0.99 1376.7
30.991 129.45 11.573 25.2 8.9805e+005 0.98 1158.3
21.997 127.91 35.788 6.2 9.812e+005 1 1426
58.84 149.95 26.392 34.7 9.2475e+005 0.97 1070.4
