x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10  
3.5827 10.018 8.0314 7.7936 5.7475 3.6016 11.618 1.7904 1.1288 1.6956 0.044792 0.082823 0.14574 51.07 38.044 6.0871 0.35859 2.05e-005 0.0012688 0.049712 2.6223 0.4238 2.1132 1.8853 0.66588 7.8452 3.8386 0.12119 2.9101 1.4292
11.532 10.381 11.972 13.104 14.136 14.328 6.2928 0.46614 1.4923 0.41483 0.0051909 0.11727 0.024151 23.16 30.639 42.07 0.32076 5.88e-005 0.007128 0.092046 2.5419 0.30439 2.1473 2.1092 0.86301 7.8185 3.893 0.15374 2.7736 1.5461
8.2503 9.6969 4.5051 12.62 2.2621 9.085 2.1729 1.2629 0.97857 1.7685 0.062106 0.077136 0.10522 4.9156 24.972 1.7295 0.35129 3.91e-005 0.0070636 0.076015 2.2812 0.046318 2.4747 1.9934 2.3124 7.6717 4.0656 0.10699 2.4747 1.5126
1.6158 5.754 1.5821 14.105 3.121 3.098 4.9884 1.6109 0.29507 0.56969 0.15622 0.018117 0.017825 10.712 0.60075 1.0342 0.30142 3.81e-005 0.0085773 0.017003 1.9665 0.35525 2.2032 2.2397 1.9805 7.3503 5.6704 0.15569 2.7512 0.76763
10.173 18.985 9.1825 1.5337 1.3013 4.8781 14.987 1.4126 0.11264 0.48196 0.025253 0.0090431 0.018069 9.7082 3.2146 6.9462 0.31617 1.5e-005 0.0082048 0.016819 1.9039 0.39578 2.1077 2.7577 2.7967 8.0492 4.4267 0.92777 2.2396 0.96718
13.484 18.566 13.716 3.4471 6.4905 6.0811 14.029 1.5636 0.46853 0.2661 0.1157 0.029173 0.0059008 17.764 17.782 23.387 0.32268 6.11e-005 0.0023273 0.04725 2.4599 0.38079 2.1138 2.5824 1.0017 7.6492 3.7715 0.26717 2.8445 1.3381
14.38 12.898 3.9561 14.291 4.2612 12.88 2.2939 1.2511 0.063391 1.0659 0.015243 0.0012233 0.092987 22.025 1.2455 10.23 0.3087 5.55e-005 0.0052043 0.012246 2.2544 0.41452 2.1497 2.6344 2.1023 7.9386 4.0929 1.4319 2.3067 1.4559
2.0954 16.651 14.859 10.274 4.545 4.9836 14.733 0.65271 1.493 1.6644 0.05934 0.04459 0.035068 22.887 4.7941 9.1975 0.30372 5.06e-005 0.0038571 0.014888 2.2262 0.411 2.1356 3.0474 2.8389 7.3667 4.096 0.4451 2.2027 0.75775
1.9704 17.385 7.9572 1.1055 1.9235 4.9631 3.0379 1.9877 0.67569 0.86464 0.12024 0.044369 0.064174 26.598 0.41718 23.21 0.3381 5.76e-005 0.0078135 0.079607 1.9544 0.34487 2.1057 1.1304 1.5545 2.9425 3.6309 0.043168 2.676 1.406
3.3023 15.752 1.8301 9.4462 14.595 10.995 13.336 0.80231 1.6305 1.2284 0.070034 0.027017 0.022573 9.2438 3.7456 10.792 0.33736 7.39e-005 0.002094 0.040029 1.9152 0.18727 2.3143 1.8465 4.0171 4.7305 7.2658 0.067227 2.7387 1.1708
2.7974 15.835 8.2927 5.7863 7.2956 10.214 9.678 1.5038 1.5446 0.083356 0.11605 0.13596 0.003832 12.882 48.466 51.723 0.31909 6.82e-005 0.0024279 0.082036 2.5467 0.075104 2.1781 2.087 1.034 7.709 3.938 0.10431 2.6984 1.471
14.417 7.9752 8.8903 2.5294 3.2334 11.254 11.344 0.56318 1.1204 1.7316 0.033927 0.07769 0.1046 20.535 14.952 16.979 0.34246 6.73e-005 0.0038407 0.050406 2.5309 0.40876 2.1042 2.268 0.71965 7.8035 3.7717 0.18041 2.9328 1.444
8.4167 10.189 3.2059 14.184 3.9225 6.8975 9.6673 1.9734 0.056078 1.437 0.18542 0.0031858 0.019944 29.591 6.0687 15.899 0.35654 4.28e-005 0.0028872 0.01562 2.401 0.41665 2.1338 2.6877 1.3555 7.5412 3.7841 0.39719 2.7012 1.133
2.5264 9.3201 9.8888 5.4543 3.7626 14.406 7.6147 0.29076 0.96082 1.0908 0.024563 0.010288 0.070576 3.4001 1.2643 12.604 0.31168 2.21e-005 0.0044311 0.028786 1.6846 0.0051 2.3251 0.90112 2.5706 7.5697 5.9192 0.021163 1.832 1.471
2.1534 12.357 4.0447 6.8939 12.828 11.881 8.3176 0.8305 1.5304 0.16519 0.029058 0.13833 0.010287 2.3827 21.108 6.4523 0.3596 4.64e-005 0.009474 0.043091 2.069 0.0066726 2.5603 2.0724 2.1309 7.5365 4.0265 0.095288 2.6529 1.6053
12.569 7.0189 4.0774 6.58 11.139 9.9289 10.8 0.48024 1.7893 0.39064 0.012233 0.15164 0.028024 5.6089 31.676 7.7447 0.36375 2.3e-005 0.0078128 0.034944 2.5309 0.20974 2.1302 1.7175 0.8473 7.8244 3.8282 0.18951 2.899 1.4792
5.732 9.1283 4.1798 11.829 1.8143 5.4418 9.2906 1.9551 0.37147 1.6845 0.16657 0.012296 0.13297 2.0401 52.515 5.8736 0.30293 8.96e-005 0.0014741 0.051605 2.5527 0.0055272 3.5852 1.6573 1.8332 7.7602 3.9372 0.12195 2.7226 1.4395
6.6652 6.1274 6.9543 12.493 3.9441 9.2806 6.6455 1.1447 1.2241 0.9149 0.035917 0.021876 0.084441 23.901 6.4928 16.302 0.34587 5.41e-006 0.0072316 0.067239 2.2576 0.39683 2.1377 2.9305 1.4923 7.3014 4.1074 0.15972 2.6886 1.5288
8.5203 12.091 1.586 13.222 8.6969 1.2328 12.467 0.5595 0.74121 1.51 0.014788 0.049366 0.09199 9.2264 9.9769 13.962 0.31212 9.64e-005 0.0039526 0.075378 1.8928 0.099047 2.2434 2.6534 3.0982 6.8514 4.8091 0.10158 2.4396 1.7004
13.525 10.506 3.5073 7.0524 12.534 13.764 5.4676 1.8259 0.89863 1.4042 0.041817 0.072342 0.091683 36.839 3.1256 39.912 0.30585 7.35e-005 0.0096955 0.075492 2.0968 0.45259 2.1117 2.6729 2.2606 6.2897 5.1313 0.24884 2.8282 1.7722
8.807 8.6097 13.272 11.964 1.5266 2.5991 7.6256 0.60968 0.43772 0.90732 0.05384 0.010698 0.018507 18.654 2.6655 6.5974 0.32729 8.5e-005 0.0052867 0.022953 2.2324 0.40786 2.1449 2.7793 1.7908 7.466 3.8073 0.54007 2.5869 1.1146
1.9057 8.8539 8.0368 11.646 14.182 5.4384 14.726 1.772 1.8429 1.1839 0.16105 0.052765 0.1093 17.671 4.7188 3.5531 0.35546 3.4e-005 0.0041819 0.031068 2.2576 0.3326 2.1697 2.9581 2.2665 7.1855 4.1175 0.12613 2.7601 1.1633
2.8592 10.856 3.7644 7.89 3.1421 4.3977 4.4568 0.63623 0.9425 0.24554 0.0080375 0.036653 0.0030147 7.6826 6.236 0.97295 0.30919 3.52e-005 0.00033189 0.037779 2.0844 0.18366 2.3467 2.5969 2.8966 6.8109 4.7674 0.052692 2.7121 1.0845
9.5758 8.6713 5.6769 1.3463 11.959 5.4213 12.422 1.0221 0.94177 1.3039 0.017888 0.055422 0.11577 2.6343 10.505 43.97 0.30788 1.99e-005 0.002451 0.052882 2.0516 0.12954 2.1081 1.798 1.6537 7.4481 3.8064 0.14634 2.8899 1.5195
7.6519 6.2662 5.6215 4.4242 2.0053 3.0236 8.1209 0.61671 1.8315 1.8104 0.0093684 0.11608 0.11518 25.114 0.3321 26.804 0.32561 9.13e-005 0.0043209 0.03944 2.0878 0.41291 2.1058 2.0971 1.922 5.8265 4.8214 0.22071 2.7799 1.0124
9.7234 8.1577 2.6544 11.141 14.503 7.0312 12.152 1.8514 0.090377 1.1258 0.062932 0.0086568 0.11086 16.018 11.045 36.556 0.3247 3.43e-005 0.0067319 0.09388 2.1856 0.1994 2.1252 2.708 1.8456 7.2091 4.3233 0.14653 2.3435 1.8156
2.3269 13.306 4.9999 12.672 9.0842 8.6522 10.507 0.99023 1.702 1.2441 0.091029 0.15111 0.08322 12.192 94.244 25.15 0.35058 8.22e-005 0.0034677 0.086848 2.5986 0.031122 2.3701 1.7484 1.553 7.7538 4.0403 0.077875 2.6595 1.5317
9.7636 12.677 3.5992 4.578 1.6704 3.913 2.1479 0.067996 1.5604 1.3492 0.0044601 0.12494 0.067572 52.778 34.522 35.562 0.36099 7.79e-005 0.0080704 0.028377 2.6183 0.41515 2.1056 1.6417 0.61735 7.8581 3.7728 0.14958 2.9388 1.4499
12.586 6.155 1.4112 12.103 12.17 3.0267 14.533 1.4418 1.7693 0.62197 0.11878 0.021904 0.010659 24.224 0.82923 27.729 0.35816 5.03e-005 0.003565 0.07254 2.0264 0.41799 2.1218 1.359 2.2912 5.6901 5.8608 0.15249 2.5048 1.4442
7.7434 18.479 14.036 1.089 1.9652 12.148 3.2951 1.6763 1.8685 1.1186 0.084878 0.082505 0.071603 10.958 1.8616 9.0588 0.30864 1.5e-005 0.0092563 0.057921 1.6778 0.28837 2.0969 1.178 2.0429 4 4.9471 0.0479 2.5605 0.9333
9.0116 13.849 12.705 5.9253 6.6665 9.8553 10.598 0.68069 0.7728 1.6404 0.061931 0.019325 0.057965 10.09 16.667 45.725 0.33342 6.42e-005 0.0054019 0.069935 2.3209 0.11908 2.1535 2.5655 1.2749 7.5689 3.9182 0.18441 2.8016 1.4291
3.4944 10.671 13.454 9.6767 3.4715 2.4768 5.2393 1.2151 1.9764 0.34395 0.09888 0.082815 0.014684 44.117 81.146 4.6065 0.32358 1.48e-005 0.0030744 0.080756 2.6486 0.40382 2.1527 1.6973 0.64954 7.8337 3.8484 0.080746 2.7389 1.4203
