x1 x2 x3 x4 x5 x6 x7 x8 y1  
265 111 86 195 6 833 790 28 41.541
153 102 0 192 0 888 943.1 7 8.3744
374 189.2 0 170.1 10.1 926.1 756.7 3 34.398
213.5 0 174.24 159.21 11.66 1043.6 771.9 28 44.637
154.8 0 142.8 193.3 9.1 877.2 867.7 28 9.7382
158.8 238.2 0 185.7 0 1040.6 734.3 28 21.066
198.6 132.4 0 192 0 978.4 825.5 360 44.296
350 0 0 203 0 974 775 56 29.978
313 145 0 178 8 867 824 28 44.388
313.3 262.2 0 175.5 8.6 1046.9 611.8 56 64.9
374 189.2 0 170.1 10.1 926.1 756.7 28 61.094
305.3 203.5 0 203.5 0 965.4 631 28 43.377
277 0 0 191 0 968 856 3 11.363
218.85 0 124.13 158.49 11.33 1078.7 794.91 28 30.22
376 0 0 214.6 0 1003.5 762.36 100 43.058
250.2 166.8 0 203.5 0 977.6 694.1 28 36.964
277 117 91 191 7 946 666 28 43.575
297.16 0 117.54 174.8 9.52 1022.8 753.45 28 47.401
165 0.02 143.57 163.81 0 1005.6 900.9 3 14.396
393 0 0 192 0 940.6 785.6 28 39.605
295.71 0 95.64 171.54 8.87 955.14 859.2 100 52.042
231.75 0 121.62 173.96 6.72 1056.4 778.45 14 26.772
251.37 0 118.27 188.45 5.75 1028.4 757.73 3 17.223
310 143 111 168 22 914 651 28 33.688
323.7 282.8 0 183.8 10.3 942.7 659.9 56 80.2
250 0 95.69 191.84 5.33 948.9 857.2 3 8.4874
500 0 0 200 0 1125 613 180 51.042
500 0 0 200 0 1125 613 270 55.158
298 0 107 164 13 953 784 28 35.86
313.3 145 0 178.5 8 1001.9 688.7 28 41.053
246.83 0 125.08 143.3 11.99 1086.8 800.89 56 60.322
182.04 45.21 121.97 170.21 8.19 1059.4 780.65 100 48.67
349 0 0 192 0 1047 806.9 3 15.049
228 342.1 0 185.7 0 955.8 674.3 7 21.917
362.6 189 0 164.9 11.6 944.7 755.8 28 71.299
170.3 155.5 0 185.7 0 1026.6 724.3 28 25.726
298 137 107 201 6 878 655 28 53.524
166.09 0 163.27 176.46 4.49 1058.6 780.09 3 10.763
143.7 170.2 132.6 191.6 8.5 814.1 805.3 28 29.871
165 0.02 143.57 163.81 0 1005.6 900.9 56 36.563
425 106.3 0 151.4 18.6 936 803.7 56 64.9
136 196 98 199 6 847 783 28 26.965
313 0 0 178 8 1000 822 28 25.097
337.9 189 0 174.9 9.5 944.7 755.8 28 49.897
362.6 189 0 164.9 11.6 944.7 755.8 91 79.297
236 157 0 192 0 972.6 749.1 28 32.885
288.4 121 0 177.4 7 907.9 829.5 28 42.14
213.76 98.06 24.52 181.74 6.65 1066 785.52 56 47.133
425 106.3 0 153.5 16.5 852.1 887.1 91 65.197
520 0 0 175 5.2 870 805 28 51.021
500 0 0 200 0 1125 613 1 12.638
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 14 29.751
480 0 0 192 0 936.2 712.2 28 43.942
382.5 0 0 185.7 0 1047.8 739.3 7 24.065
155 0 143 193 9 877 868 28 9.7354
250 0 95.69 191.84 5.33 948.9 857.2 100 41.162
149 117.6 91.7 182.9 7.1 953.4 780.3 28 23.524
143 169 143 191 8 967 643 28 29.723
192 288 0 192 0 929.8 716.1 28 39.322
439 177 0 186 11.1 884.9 707.9 7 56.096
250 0 0 182 0 1100 820 7 12.735
295.71 0 95.64 171.54 8.87 955.14 859.2 3 22.946
153 145 0 178 8 1000 822 28 19.009
296 0 106.7 221.4 10.5 819.2 778.4 28 31.42
229.97 0 118.31 195.47 4.63 1029.4 758.59 3 10.032
362.6 189 0 164.9 11.6 944.7 755.8 56 77.297
238.05 0 94.11 186.66 7 949.91 847.01 100 44.299
255.5 170.3 0 185.7 0 1026.6 724.3 7 17.236
194.68 0 100.52 170.17 7.48 998 901.8 14 24.283
145 0 134 181 11 979 812 28 13.197
427.5 47.5 0 228 0 932 594 270 43.013
135.7 203.5 0 185.7 0 1076.2 759.3 28 18.199
233.81 0 94.58 197.89 4.567 947.04 852.16 28 22.835
304 76 0 228 0 932 670 365 55.26
194.68 0 100.52 165.62 7.48 1006.4 905.9 14 24.987
322 149 0 186 8 951 709 28 52.421
252 97 76 194 8 835 821 28 33.398
141.3 212 0 203.5 0 971.8 748.5 3 4.8277
475 118.8 0 181.1 8.9 852.1 781.5 3 37.797
300 0 120 212 10 878 728 28 23.835
203.5 305.3 0 203.5 0 963.4 630 3 9.5617
366 187 0 191 7 824 757 28 65.907
326 166 0 174 9 882 790 28 61.232
141.3 212 0 203.5 0 971.8 748.5 90 39.662
212.52 0 100.37 159.32 8.71 1007.8 903.59 14 26.31
275 0 0 183 0 1088 808 28 24.497
164.2 0 200.1 181.2 12.6 849.3 846 28 15.091
166 259.7 0 183.2 12.7 858.8 826.8 28 37.917
339 0 0 197 0 968 781 90 35.17
255.3 98.8 77 188.6 6.5 919 749.3 28 33.799
362.6 189 0 164.9 11.6 944.7 755.8 3 35.301
356 0 142 193 11 801 778 28 40.865
290.2 193.5 0 185.7 0 998.2 704.3 28 33.043
213.72 98.05 24.51 181.71 6.86 1065.8 785.38 3 17.995
342 38 0 228 0 932 670 365 56.142
330.5 169.6 0 194.9 8.1 811 802.3 28 56.619
313.3 262.2 0 175.5 8.6 1046.9 611.8 3 28.799
184 86 190 213 6 923 623 28 22.932
387 20 94 157 13.93 938 845 28 46.684
380 95 0 228 0 932 594 28 36.448
250 0 95.69 187.42 5.53 956.86 861.17 56 38.328
277.19 97.82 24.46 160.7 11.19 1061.7 782.46 56 66.824
310 142.8 0 167.9 10 914.3 804 28 45.305
446 24 79 162 11.61 967 712 3 35.363
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 14 34.239
159.1 186.7 0 175.6 11.3 989.6 788.9 28 32.768
251.37 0 118.27 188.45 6.35 1028.4 757.73 100 44.209
