x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 y1  
2.0102 0 19.58 0 0.605 7.929 96.2 2.0459 5 403 14.7 369.3 3.7 50
1.4963 0 19.58 0 0.871 5.404 100 1.5916 5 403 14.7 341.6 13.28 19.6
0.15098 0 10.01 0 0.547 6.021 82.6 2.7474 6 432 17.8 394.51 10.3 19.2
0.09164 0 10.81 0 0.413 6.065 7.8 5.2873 4 305 19.2 390.91 5.52 22.8
0.17142 0 6.91 0 0.448 5.682 33.8 5.1004 3 233 17.9 396.9 10.21 19.3
0.21719 0 10.59 1 0.489 5.807 53.8 3.6526 4 277 18.6 390.94 16.03 22.4
5.67 0 18.1 1 0.631 6.683 96.8 1.3567 24 666 20.2 375.33 3.73 50
0.0187 85 4.15 0 0.429 6.516 27.7 8.5353 4 351 17.9 392.43 6.36 23.1
0.09065 20 6.96 1 0.464 5.92 61.5 3.9175 3 223 18.6 391.34 13.65 20.7
0.2896 0 9.69 0 0.585 5.39 72.9 2.7986 6 391 19.2 396.9 21.14 19.7
