x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
9.7 0.32 0.54 2.5 0.094 28 83 0.9984 3.28 0.82 9.6 5
7.7 0.58 0.1 1.8 0.102 28 109 0.99565 3.08 0.49 9.8 6
7.3 0.52 0.32 2.1 0.07 51 70 0.99418 3.34 0.82 12.9 6
9.3 0.37 0.44 1.6 0.038 21 42 0.99526 3.24 0.81 10.8 7
9.9 0.35 0.38 1.5 0.058 31 47 0.99676 3.26 0.82 10.6 7
9.2 0.31 0.36 2.2 0.079 11 31 0.99615 3.33 0.86 12 7
7 0.62 0.18 1.5 0.062 7 50 0.9951 3.08 0.6 9.3 5
9 0.8 0.12 2.4 0.083 8 28 0.99836 3.33 0.65 10.4 6
9 0.39 0.4 1.3 0.044 25 50 0.99478 3.2 0.83 10.9 6
6.9 0.49 0.19 1.7 0.079 13 26 0.99547 3.38 0.64 9.8 6
7.4 0.6 0.26 7.3 0.07 36 121 0.9982 3.37 0.49 9.4 5
8.1 0.73 0 2.5 0.081 12 24 0.99798 3.38 0.46 9.6 4
7 0.43 0.3 2 0.085 6 39 0.99346 3.33 0.46 11.9 6
11.5 0.59 0.59 2.6 0.087 13 49 0.9988 3.18 0.65 11 6
8.4 0.36 0.32 2.2 0.081 32 79 0.9964 3.3 0.72 11 6
7.5 0.71 0 1.6 0.092 22 31 0.99635 3.38 0.58 10 6
8.6 0.685 0.1 1.6 0.092 3 12 0.99745 3.31 0.65 9.55 6
10 0.38 0.38 1.6 0.169 27 90 0.99914 3.15 0.65 8.5 5
7.6 0.46 0.11 2.6 0.079 12 49 0.9968 3.21 0.57 10 5
6.6 0.63 0 4.3 0.093 51 77.5 0.99558 3.2 0.45 9.5 5
7.4 1.185 0 4.25 0.097 5 14 0.9966 3.63 0.54 10.7 3
6.6 0.58 0.02 2.4 0.069 19 40 0.99387 3.38 0.66 12.6 6
7.8 0.32 0.44 2.7 0.104 8 17 0.99732 3.33 0.78 11 7
6.8 0.66 0.07 1.6 0.07 16 61 0.99572 3.29 0.6 9.3 5
12.4 0.4 0.51 2 0.059 6 24 0.9994 3.04 0.6 9.3 6
5.8 1.01 0.66 2 0.039 15 88 0.99357 3.66 0.6 11.5 6
6.7 0.64 0.23 2.1 0.08 11 119 0.99538 3.36 0.7 10.9 5
8.1 0.785 0.52 2 0.122 37 153 0.9969 3.21 0.69 9.3 5
6 0.31 0.47 3.6 0.067 18 42 0.99549 3.39 0.66 11 6
11.6 0.58 0.66 2.2 0.074 10 47 1.0008 3.25 0.57 9 3
9.4 0.24 0.33 2.3 0.061 52 73 0.99786 3.47 0.9 10.2 6
8.2 0.39 0.49 2.3 0.099 47 133 0.9979 3.38 0.99 9.8 5
8.6 0.635 0.68 1.8 0.403 19 56 0.99632 3.02 1.15 9.3 5
7.4 0.36 0.34 1.8 0.075 18 38 0.9933 3.38 0.88 13.6 7
11.8 0.26 0.52 1.8 0.071 6 10 0.9968 3.2 0.72 10.2 7
6.9 0.765 0.18 2.4 0.243 5.5 48 0.99612 3.4 0.6 10.3 6
7.4 0.66 0 1.8 0.075 13 40 0.9978 3.51 0.56 9.4 5
10.3 0.41 0.42 2.4 0.213 6 14 0.9994 3.19 0.62 9.5 6
8.8 0.24 0.54 2.5 0.083 25 57 0.9983 3.39 0.54 9.2 5
12 0.45 0.55 2 0.073 25 49 0.9997 3.1 0.76 10.3 6
11.5 0.42 0.48 2.6 0.077 8 20 0.99852 3.09 0.53 11 5
7.7 0.63 0.08 1.9 0.076 15 27 0.9967 3.32 0.54 9.5 6
7.3 0.305 0.39 1.2 0.059 7 11 0.99331 3.29 0.52 11.5 6
5.9 0.61 0.08 2.1 0.071 16 24 0.99376 3.56 0.77 11.1 6
6.8 0.915 0.29 4.8 0.07 15 39 0.99577 3.53 0.54 11.1 5
7.6 0.41 0.49 2 0.088 16 43 0.998 3.48 0.64 9.1 5
8.2 0.4 0.31 1.9 0.082 8 24 0.996 3.24 0.69 10.6 6
6.8 0.49 0.22 2.3 0.071 13 24 0.99438 3.41 0.83 11.3 6
7.8 0.815 0.01 2.6 0.074 48 90 0.99621 3.38 0.62 10.8 5
6.6 0.735 0.02 7.9 0.122 68 124 0.9994 3.47 0.53 9.9 5
10.2 0.645 0.36 1.8 0.053 5 14 0.9982 3.17 0.42 10 6
11.5 0.31 0.51 2.2 0.079 14 28 0.9982 3.03 0.93 9.8 6
8 0.18 0.37 0.9 0.049 36 109 0.99007 2.89 0.44 12.7 6
10.1 0.65 0.37 5.1 0.11 11 65 1.0026 3.32 0.64 10.4 6
7.1 0.43 0.17 1.8 0.082 27 51 0.99634 3.49 0.64 10.4 5
7.1 0.755 0.15 1.8 0.107 20 84 0.99593 3.19 0.5 9.5 5
6.3 0.57 0.28 2.1 0.048 13 49 0.99374 3.41 0.6 12.8 5
10.2 0.54 0.37 15.4 0.214 55 95 1.0037 3.18 0.77 9 6
8.3 0.3 0.49 3.8 0.09 11 24 0.99498 3.27 0.64 12.1 7
10.7 0.35 0.53 2.6 0.07 5 16 0.9972 3.15 0.65 11 8
7.2 0.62 0.01 2.3 0.065 8 46 0.99332 3.32 0.51 11.8 6
11.7 0.45 0.63 2.2 0.073 7 23 0.99974 3.21 0.69 10.9 6
8.3 0.34 0.4 2.4 0.065 24 48 0.99554 3.34 0.86 11 6
15.5 0.645 0.49 4.2 0.095 10 23 1.0032 2.92 0.74 11.1 5
8.8 0.33 0.41 5.9 0.073 7 13 0.99658 3.3 0.62 12.1 7
7 0.54 0.09 2 0.081 10 16 0.99479 3.43 0.59 11.5 6
7.8 0.88 0 2.6 0.098 25 67 0.9968 3.2 0.68 9.8 5
7 0.43 0.36 1.6 0.089 14 37 0.99615 3.34 0.56 9.2 6
8.1 0.545 0.18 1.9 0.08 13 35 0.9972 3.3 0.59 9 6
7.6 0.36 0.31 1.7 0.079 26 65 0.99716 3.46 0.62 9.5 6
8.7 0.33 0.38 3.3 0.063 10 19 0.99468 3.3 0.73 12 7
9.5 0.57 0.27 2.3 0.082 23 144 0.99782 3.27 0.55 9.4 5
5.8 0.68 0.02 1.8 0.087 21 94 0.9944 3.54 0.52 10 5
7.2 0.57 0.06 1.6 0.076 9 27 0.9972 3.36 0.7 9.6 6
7.3 0.66 0 2 0.084 6 23 0.9983 3.61 0.96 9.9 6
