x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
8.7 0.23 0.32 13.4 0.044 35 169 0.99975 3.12 0.47 8.8 7
6.1 0.34 0.31 12 0.053 46 238 0.9977 3.16 0.48 8.6 5
6 0.32 0.3 7.3 0.174 46 159 0.99519 3.18 0.49 9.4 5
7.7 0.35 0.49 8.65 0.033 42 186 0.9931 3.14 0.38 12.4 8
7.2 0.23 0.33 12.7 0.049 50 183 0.9987 3.41 0.4 9.8 5
5.9 0.22 0.29 4.2 0.037 69 144 0.99214 3.13 0.74 10.8 7
5.6 0.26 0 10.2 0.038 13 111 0.99315 3.44 0.46 12.4 6
6.2 0.16 0.32 1.1 0.036 74 184 0.99096 3.22 0.41 11 6
7.7 0.24 0.3 1.4 0.041 15 102 0.9929 3.26 0.53 10.4 6
6.5 0.35 0.28 12.4 0.051 86 213 0.9962 3.16 0.51 9.9 6
6.4 0.26 0.35 7.7 0.056 45 191 0.99527 3.16 0.5 9.5 5
7 0.16 0.26 7.3 0.047 30 220 0.99622 3.38 0.58 10.1 6
6.5 0.18 0.41 14.2 0.039 47 129 0.99678 3.28 0.72 10.3 7
8.8 0.19 0.3 5 0.028 34 120 0.99242 2.94 0.47 11.2 5
6 0.28 0.27 15.5 0.036 31 134 0.99408 3.19 0.44 13 7
6.4 0.27 0.3 1.6 0.04 19 86 0.99089 3.32 0.65 11.5 6
5.5 0.24 0.45 1.7 0.046 22 113 0.99224 3.22 0.48 10 5
6.7 0.34 0.26 1.9 0.038 58 138 0.9893 3 0.47 12.2 7
6.8 0.26 0.44 8.2 0.046 52 183 0.99584 3.2 0.51 9.4 5
6.7 0.4 0.22 8.8 0.052 24 113 0.99576 3.22 0.45 9.4 5
